id,question,answer,solution,difficulty
cipher_en_easy_0000,"--- [RECOVERED MISSION LOG] ---
TARGET GRID IS STANDBY. ENCRYPTION PRIMARY KEY IS DETERMINED AS FOXTROT. SYSTEM REPORT ID 5713: STATUS CRITICAL. COORDINATES SET TO 141.71 | SECTOR E257.
-------------------------------

Ciphertext: 'SCTAHLOTYJOUZEPPHVUAMAEIYTUFPCV'

Encryption guide:
1. The encryption keyword is 'FOXTROT'.
2. Applied algorithms: VIGENERE

Algorithm details:
- VIGENERE: Repeat the keyword and add it to the plaintext letters (A=0, B=1...).

Enter the decrypted plaintext (uppercase, no spaces).",NOWHQXVOKMVDLLKBKCDMTVQLFCGMKOY,"STEP0=meta · STEP1=given · STEP2=worked solution · STEP3=answer and verification
[STEP 0] Problem meta
  - Difficulty: easy
  - Ciphertext: 'SCTAHLOTYJOUZEPPHVUAMAEIYTUFPCV' (length 31)
  - Plaintext (answer): NOWHQXVOKMVDLLKBKCDMTVQLFCGMKOY
  - Encryption pipeline (plaintext → ciphertext): Vigenere(key=FOXTROT)
  - Decryption: apply the **inverse** of each layer in **reverse order** (undo the last encryption step first).
[STEP 1] Given (keyword + log rules)
  - Rule from prompt: The encryption keyword is 'FOXTROT'.
  - Keyword is stated explicitly: 'FOXTROT'.
[STEP 2] Worked solution (decrypt, ciphertext → plaintext)
  · Summary: stack depth 1 · keyword 'FOXTROT' · decrypt pipeline: Vigenère⁻¹ · 1 SEGs
    [SEG 1] Vigenère **decrypt**: repeat 'FOXTROT'; subtract each key letter from ciphertext (mod 26, A=0).
[STEP 3] Answer and verification
  - Final answer: 'NOWHQXVOKMVDLLKBKCDMTVQLFCGMKOY' (uppercase A–Z, no spaces).
  - Plaintext must match 'NOWHQXVOKMVDLLKBKCDMTVQLFCGMKOY'.
  - Re-encrypt the sample pairs from the prompt with the same keyword and stack to verify the rules match the ciphertext.",easy
cipher_en_easy_0001,"--- [RECOVERED MISSION LOG] ---
ENCRYPTION SEED IS DETERMINED AS BRAVO. SYSTEM REPORT ID 2472: STATUS STABLE. TARGET CORE IS OFFLINE. COORDINATES SET TO 54.39 | SECTOR 10D8.
-------------------------------

Ciphertext: 'WVNBDZGWSNZGVNNZYYFEPDVGNFUWYDD'

Encryption guide:
1. The encryption keyword is 'BRAVO'.
2. Applied algorithms: VIGENERE

Algorithm details:
- VIGENERE: Repeat the keyword and add it to the plaintext letters (A=0, B=1...).

Enter the decrypted plaintext (uppercase, no spaces).",VENGPYPWXZYPVSZYHYKQOMVLZEDWDPC,"STEP0=meta · STEP1=given · STEP2=worked solution · STEP3=answer and verification
[STEP 0] Problem meta
  - Difficulty: easy
  - Ciphertext: 'WVNBDZGWSNZGVNNZYYFEPDVGNFUWYDD' (length 31)
  - Plaintext (answer): VENGPYPWXZYPVSZYHYKQOMVLZEDWDPC
  - Encryption pipeline (plaintext → ciphertext): Vigenere(key=BRAVO)
  - Decryption: apply the **inverse** of each layer in **reverse order** (undo the last encryption step first).
[STEP 1] Given (keyword + log rules)
  - Rule from prompt: The encryption keyword is 'BRAVO'.
  - Keyword is stated explicitly: 'BRAVO'.
[STEP 2] Worked solution (decrypt, ciphertext → plaintext)
  · Summary: stack depth 1 · keyword 'BRAVO' · decrypt pipeline: Vigenère⁻¹ · 1 SEGs
    [SEG 1] Vigenère **decrypt**: repeat 'BRAVO'; subtract each key letter from ciphertext (mod 26, A=0).
[STEP 3] Answer and verification
  - Final answer: 'VENGPYPWXZYPVSZYHYKQOMVLZEDWDPC' (uppercase A–Z, no spaces).
  - Plaintext must match 'VENGPYPWXZYPVSZYHYKQOMVLZEDWDPC'.
  - Re-encrypt the sample pairs from the prompt with the same keyword and stack to verify the rules match the ciphertext.",easy
cipher_en_easy_0002,"--- [RECOVERED MISSION LOG] ---
TARGET TERMINAL IS READY. COORDINATES SET TO 3.23 | SECTOR 7699. ENCRYPTION PRIMARY KEY IS DETERMINED AS ALPHA. SYSTEM REPORT ID 7336: STATUS STABLE.
-------------------------------

Ciphertext: 'OKRHHYDMICXUIWYBCYLJXMNWUZXGBDI'

Encryption guide:
1. The encryption keyword is 'ALPHA'.
2. Applied algorithms: VIGENERE

Algorithm details:
- VIGENERE: Repeat the keyword and add it to the plaintext letters (A=0, B=1...).

Enter the decrypted plaintext (uppercase, no spaces).",OZCAHYSXBCXJTPYBRJEJXBYPUZMRUDI,"STEP0=meta · STEP1=given · STEP2=worked solution · STEP3=answer and verification
[STEP 0] Problem meta
  - Difficulty: easy
  - Ciphertext: 'OKRHHYDMICXUIWYBCYLJXMNWUZXGBDI' (length 31)
  - Plaintext (answer): OZCAHYSXBCXJTPYBRJEJXBYPUZMRUDI
  - Encryption pipeline (plaintext → ciphertext): Vigenere(key=ALPHA)
  - Decryption: apply the **inverse** of each layer in **reverse order** (undo the last encryption step first).
[STEP 1] Given (keyword + log rules)
  - Rule from prompt: The encryption keyword is 'ALPHA'.
  - Keyword is stated explicitly: 'ALPHA'.
[STEP 2] Worked solution (decrypt, ciphertext → plaintext)
  · Summary: stack depth 1 · keyword 'ALPHA' · decrypt pipeline: Vigenère⁻¹ · 1 SEGs
    [SEG 1] Vigenère **decrypt**: repeat 'ALPHA'; subtract each key letter from ciphertext (mod 26, A=0).
[STEP 3] Answer and verification
  - Final answer: 'OZCAHYSXBCXJTPYBRJEJXBYPUZMRUDI' (uppercase A–Z, no spaces).
  - Plaintext must match 'OZCAHYSXBCXJTPYBRJEJXBYPUZMRUDI'.
  - Re-encrypt the sample pairs from the prompt with the same keyword and stack to verify the rules match the ciphertext.",easy
cipher_en_easy_0003,"--- [RECOVERED MISSION LOG] ---
ENCRYPTION SEED IS DETERMINED AS ALPHA. COORDINATES SET TO 170.92 | SECTOR 7FD5. TARGET SATELLITE IS BREACHED. SYSTEM REPORT ID 1005: STATUS OVERLOADED.
-------------------------------

Ciphertext: 'HPQKUYHFZVIXRDXXQAJJCHOYOHPYR'

Encryption guide:
1. The encryption keyword is 'ALPHA'.
2. Applied algorithms: VIGENERE

Algorithm details:
- VIGENERE: Repeat the keyword and add it to the plaintext letters (A=0, B=1...).

Enter the decrypted plaintext (uppercase, no spaces).",HEBDUYWQSVIMCWXXFLCJCWZROHEJK,"STEP0=meta · STEP1=given · STEP2=worked solution · STEP3=answer and verification
[STEP 0] Problem meta
  - Difficulty: easy
  - Ciphertext: 'HPQKUYHFZVIXRDXXQAJJCHOYOHPYR' (length 29)
  - Plaintext (answer): HEBDUYWQSVIMCWXXFLCJCWZROHEJK
  - Encryption pipeline (plaintext → ciphertext): Vigenere(key=ALPHA)
  - Decryption: apply the **inverse** of each layer in **reverse order** (undo the last encryption step first).
[STEP 1] Given (keyword + log rules)
  - Rule from prompt: The encryption keyword is 'ALPHA'.
  - Keyword is stated explicitly: 'ALPHA'.
[STEP 2] Worked solution (decrypt, ciphertext → plaintext)
  · Summary: stack depth 1 · keyword 'ALPHA' · decrypt pipeline: Vigenère⁻¹ · 1 SEGs
    [SEG 1] Vigenère **decrypt**: repeat 'ALPHA'; subtract each key letter from ciphertext (mod 26, A=0).
[STEP 3] Answer and verification
  - Final answer: 'HEBDUYWQSVIMCWXXFLCJCWZROHEJK' (uppercase A–Z, no spaces).
  - Plaintext must match 'HEBDUYWQSVIMCWXXFLCJCWZROHEJK'.
  - Re-encrypt the sample pairs from the prompt with the same keyword and stack to verify the rules match the ciphertext.",easy
cipher_en_easy_0004,"--- [RECOVERED MISSION LOG] ---
ENCRYPTION AUTH CODE IS DETERMINED AS BRAVO. COORDINATES SET TO 125.72 | SECTOR 5748. SYSTEM REPORT ID 8729: STATUS OVERLOADED. TARGET DATABASE IS STANDBY.
-------------------------------

Ciphertext: 'XCPLNCDAJONMTSUIDWBHLYATQZLWMUT'

Encryption guide:
1. The encryption keyword is 'BRAVO'.
2. Applied algorithms: VIGENERE

Algorithm details:
- VIGENERE: Repeat the keyword and add it to the plaintext letters (A=0, B=1...).

Enter the decrypted plaintext (uppercase, no spaces).",WLPQZBMAOAMVTXGHMWGTKHAYCYUWRGS,"STEP0=meta · STEP1=given · STEP2=worked solution · STEP3=answer and verification
[STEP 0] Problem meta
  - Difficulty: easy
  - Ciphertext: 'XCPLNCDAJONMTSUIDWBHLYATQZLWMUT' (length 31)
  - Plaintext (answer): WLPQZBMAOAMVTXGHMWGTKHAYCYUWRGS
  - Encryption pipeline (plaintext → ciphertext): Vigenere(key=BRAVO)
  - Decryption: apply the **inverse** of each layer in **reverse order** (undo the last encryption step first).
[STEP 1] Given (keyword + log rules)
  - Rule from prompt: The encryption keyword is 'BRAVO'.
  - Keyword is stated explicitly: 'BRAVO'.
[STEP 2] Worked solution (decrypt, ciphertext → plaintext)
  · Summary: stack depth 1 · keyword 'BRAVO' · decrypt pipeline: Vigenère⁻¹ · 1 SEGs
    [SEG 1] Vigenère **decrypt**: repeat 'BRAVO'; subtract each key letter from ciphertext (mod 26, A=0).
[STEP 3] Answer and verification
  - Final answer: 'WLPQZBMAOAMVTXGHMWGTKHAYCYUWRGS' (uppercase A–Z, no spaces).
  - Plaintext must match 'WLPQZBMAOAMVTXGHMWGTKHAYCYUWRGS'.
  - Re-encrypt the sample pairs from the prompt with the same keyword and stack to verify the rules match the ciphertext.",easy
cipher_en_easy_0005,"--- [RECOVERED MISSION LOG] ---
TARGET CORE IS STANDBY. COORDINATES SET TO 4.62 | SECTOR E948. ENCRYPTION SEED IS DETERMINED AS FOXTROT. SYSTEM REPORT ID 2044: STATUS CRITICAL.
-------------------------------

Ciphertext: 'BGPPUSCFGPVWLEESGUNMDVOFFILRE'

Encryption guide:
1. The encryption keyword is 'FOXTROT'.
2. Applied algorithms: VIGENERE

Algorithm details:
- VIGENERE: Repeat the keyword and add it to the plaintext letters (A=0, B=1...).

Enter the decrypted plaintext (uppercase, no spaces).",WSSWDEJASSCFXLZEJBWYKQAIMRXYZ,"STEP0=meta · STEP1=given · STEP2=worked solution · STEP3=answer and verification
[STEP 0] Problem meta
  - Difficulty: easy
  - Ciphertext: 'BGPPUSCFGPVWLEESGUNMDVOFFILRE' (length 29)
  - Plaintext (answer): WSSWDEJASSCFXLZEJBWYKQAIMRXYZ
  - Encryption pipeline (plaintext → ciphertext): Vigenere(key=FOXTROT)
  - Decryption: apply the **inverse** of each layer in **reverse order** (undo the last encryption step first).
[STEP 1] Given (keyword + log rules)
  - Rule from prompt: The encryption keyword is 'FOXTROT'.
  - Keyword is stated explicitly: 'FOXTROT'.
[STEP 2] Worked solution (decrypt, ciphertext → plaintext)
  · Summary: stack depth 1 · keyword 'FOXTROT' · decrypt pipeline: Vigenère⁻¹ · 1 SEGs
    [SEG 1] Vigenère **decrypt**: repeat 'FOXTROT'; subtract each key letter from ciphertext (mod 26, A=0).
[STEP 3] Answer and verification
  - Final answer: 'WSSWDEJASSCFXLZEJBWYKQAIMRXYZ' (uppercase A–Z, no spaces).
  - Plaintext must match 'WSSWDEJASSCFXLZEJBWYKQAIMRXYZ'.
  - Re-encrypt the sample pairs from the prompt with the same keyword and stack to verify the rules match the ciphertext.",easy
cipher_en_easy_0006,"--- [RECOVERED MISSION LOG] ---
ENCRYPTION PRIMARY KEY IS DETERMINED AS GOLF. TARGET DATABASE IS OFFLINE. SYSTEM REPORT ID 9565: STATUS SYNCING. COORDINATES SET TO 11.35 | SECTOR E38C.
-------------------------------

Ciphertext: 'NNGPFSGHBHLSKYAAUJJYZBFWZGTXJTRE'

Encryption guide:
1. The encryption keyword is 'GOLF'.
2. Applied algorithms: VIGENERE

Algorithm details:
- VIGENERE: Repeat the keyword and add it to the plaintext letters (A=0, B=1...).

Enter the decrypted plaintext (uppercase, no spaces).",HZVKZEVCVTANEKPVOVYTTNURTSISDFGZ,"STEP0=meta · STEP1=given · STEP2=worked solution · STEP3=answer and verification
[STEP 0] Problem meta
  - Difficulty: easy
  - Ciphertext: 'NNGPFSGHBHLSKYAAUJJYZBFWZGTXJTRE' (length 32)
  - Plaintext (answer): HZVKZEVCVTANEKPVOVYTTNURTSISDFGZ
  - Encryption pipeline (plaintext → ciphertext): Vigenere(key=GOLF)
  - Decryption: apply the **inverse** of each layer in **reverse order** (undo the last encryption step first).
[STEP 1] Given (keyword + log rules)
  - Rule from prompt: The encryption keyword is 'GOLF'.
  - Keyword is stated explicitly: 'GOLF'.
[STEP 2] Worked solution (decrypt, ciphertext → plaintext)
  · Summary: stack depth 1 · keyword 'GOLF' · decrypt pipeline: Vigenère⁻¹ · 1 SEGs
    [SEG 1] Vigenère **decrypt**: repeat 'GOLF'; subtract each key letter from ciphertext (mod 26, A=0).
[STEP 3] Answer and verification
  - Final answer: 'HZVKZEVCVTANEKPVOVYTTNURTSISDFGZ' (uppercase A–Z, no spaces).
  - Plaintext must match 'HZVKZEVCVTANEKPVOVYTTNURTSISDFGZ'.
  - Re-encrypt the sample pairs from the prompt with the same keyword and stack to verify the rules match the ciphertext.",easy
cipher_en_easy_0007,"--- [RECOVERED MISSION LOG] ---
ENCRYPTION AUTH CODE IS DETERMINED AS DELTA. TARGET DATABASE IS OFFLINE. SYSTEM REPORT ID 347: STATUS OVERLOADED. COORDINATES SET TO 3.79 | SECTOR DF80.
-------------------------------

Ciphertext: 'LIQFBCRENGHDXHXWUMIBKZTDBFWIO'

Encryption guide:
1. The encryption keyword is 'DELTA'.
2. Applied algorithms: VIGENERE

Algorithm details:
- VIGENERE: Repeat the keyword and add it to the plaintext letters (A=0, B=1...).

Enter the decrypted plaintext (uppercase, no spaces).",IEFMBZNTUGEZMOXTQBPBHVIKBCSXV,"STEP0=meta · STEP1=given · STEP2=worked solution · STEP3=answer and verification
[STEP 0] Problem meta
  - Difficulty: easy
  - Ciphertext: 'LIQFBCRENGHDXHXWUMIBKZTDBFWIO' (length 29)
  - Plaintext (answer): IEFMBZNTUGEZMOXTQBPBHVIKBCSXV
  - Encryption pipeline (plaintext → ciphertext): Vigenere(key=DELTA)
  - Decryption: apply the **inverse** of each layer in **reverse order** (undo the last encryption step first).
[STEP 1] Given (keyword + log rules)
  - Rule from prompt: The encryption keyword is 'DELTA'.
  - Keyword is stated explicitly: 'DELTA'.
[STEP 2] Worked solution (decrypt, ciphertext → plaintext)
  · Summary: stack depth 1 · keyword 'DELTA' · decrypt pipeline: Vigenère⁻¹ · 1 SEGs
    [SEG 1] Vigenère **decrypt**: repeat 'DELTA'; subtract each key letter from ciphertext (mod 26, A=0).
[STEP 3] Answer and verification
  - Final answer: 'IEFMBZNTUGEZMOXTQBPBHVIKBCSXV' (uppercase A–Z, no spaces).
  - Plaintext must match 'IEFMBZNTUGEZMOXTQBPBHVIKBCSXV'.
  - Re-encrypt the sample pairs from the prompt with the same keyword and stack to verify the rules match the ciphertext.",easy
cipher_en_easy_0008,"--- [RECOVERED MISSION LOG] ---
ENCRYPTION AUTH CODE IS DETERMINED AS FOXTROT. TARGET CORE IS READY. SYSTEM REPORT ID 535: STATUS STABLE. COORDINATES SET TO 25.14 | SECTOR 9367.
-------------------------------

Ciphertext: 'IKFDUPOTBRHDUVXTJHOISOBEODVVRCYS'

Encryption guide:
1. The encryption keyword is 'FOXTROT'.
2. Applied algorithms: VIGENERE

Algorithm details:
- VIGENERE: Repeat the keyword and add it to the plaintext letters (A=0, B=1...).

Enter the decrypted plaintext (uppercase, no spaces).",DWIKDBVONUOMGCSFMOXUZJNHVMHCMOBZ,"STEP0=meta · STEP1=given · STEP2=worked solution · STEP3=answer and verification
[STEP 0] Problem meta
  - Difficulty: easy
  - Ciphertext: 'IKFDUPOTBRHDUVXTJHOISOBEODVVRCYS' (length 32)
  - Plaintext (answer): DWIKDBVONUOMGCSFMOXUZJNHVMHCMOBZ
  - Encryption pipeline (plaintext → ciphertext): Vigenere(key=FOXTROT)
  - Decryption: apply the **inverse** of each layer in **reverse order** (undo the last encryption step first).
[STEP 1] Given (keyword + log rules)
  - Rule from prompt: The encryption keyword is 'FOXTROT'.
  - Keyword is stated explicitly: 'FOXTROT'.
[STEP 2] Worked solution (decrypt, ciphertext → plaintext)
  · Summary: stack depth 1 · keyword 'FOXTROT' · decrypt pipeline: Vigenère⁻¹ · 1 SEGs
    [SEG 1] Vigenère **decrypt**: repeat 'FOXTROT'; subtract each key letter from ciphertext (mod 26, A=0).
[STEP 3] Answer and verification
  - Final answer: 'DWIKDBVONUOMGCSFMOXUZJNHVMHCMOBZ' (uppercase A–Z, no spaces).
  - Plaintext must match 'DWIKDBVONUOMGCSFMOXUZJNHVMHCMOBZ'.
  - Re-encrypt the sample pairs from the prompt with the same keyword and stack to verify the rules match the ciphertext.",easy
cipher_en_easy_0009,"--- [RECOVERED MISSION LOG] ---
ENCRYPTION SEED IS DETERMINED AS BRAVO. COORDINATES SET TO 44.85 | SECTOR 7D9F. TARGET CORE IS BREACHED. SYSTEM REPORT ID 4226: STATUS CRITICAL.
-------------------------------

Ciphertext: 'BRJXGOZFTZCVLZSJIDUBQPEVFYVHWJR'

Encryption guide:
1. The encryption keyword is 'BRAVO'.
2. Applied algorithms: VIGENERE

Algorithm details:
- VIGENERE: Repeat the keyword and add it to the plaintext letters (A=0, B=1...).

Enter the decrypted plaintext (uppercase, no spaces).",AAJCSNIFYLBELEEIRDZNPYEARXEHBVQ,"STEP0=meta · STEP1=given · STEP2=worked solution · STEP3=answer and verification
[STEP 0] Problem meta
  - Difficulty: easy
  - Ciphertext: 'BRJXGOZFTZCVLZSJIDUBQPEVFYVHWJR' (length 31)
  - Plaintext (answer): AAJCSNIFYLBELEEIRDZNPYEARXEHBVQ
  - Encryption pipeline (plaintext → ciphertext): Vigenere(key=BRAVO)
  - Decryption: apply the **inverse** of each layer in **reverse order** (undo the last encryption step first).
[STEP 1] Given (keyword + log rules)
  - Rule from prompt: The encryption keyword is 'BRAVO'.
  - Keyword is stated explicitly: 'BRAVO'.
[STEP 2] Worked solution (decrypt, ciphertext → plaintext)
  · Summary: stack depth 1 · keyword 'BRAVO' · decrypt pipeline: Vigenère⁻¹ · 1 SEGs
    [SEG 1] Vigenère **decrypt**: repeat 'BRAVO'; subtract each key letter from ciphertext (mod 26, A=0).
[STEP 3] Answer and verification
  - Final answer: 'AAJCSNIFYLBELEEIRDZNPYEARXEHBVQ' (uppercase A–Z, no spaces).
  - Plaintext must match 'AAJCSNIFYLBELEEIRDZNPYEARXEHBVQ'.
  - Re-encrypt the sample pairs from the prompt with the same keyword and stack to verify the rules match the ciphertext.",easy
