id,question,answer,solution,difficulty
inequality_en_easy_0000,"Solve this inequality puzzle. Fill in the blanks with numbers from 1 to 5.

Each number from 1 to 5 must be used exactly once.
The inequality symbols (< or >) between positions must be satisfied.

Puzzle: 2 > _ < 5 ? _ > _

Rules:
- '_' represents an empty position to fill
- '<' means the left number is smaller than the right number
- '>' means the left number is larger than the right number
- Each number 1 to 5 appears exactly once
- '?' means the inequality is unknown (could be < or >)

Provide your answer as a sequence of 5 digits (no spaces).

Example format:
Answer: 12345",21543,"STEP0=meta · STEP1=given · STEP2=worked solution · STEP3=answer and verification
[STEP 0] Problem meta
  - Difficulty: easy
  - Grid size: 5 (permutation of 1..5)
  - Givens: 2 · visible inequalities: 3 · hidden: 1
  - Final answer is confirmed in [STEP 3]
[STEP 1] Given
  - Puzzle: 2 > _ < 5 ? _ > _
  - Givens (pos:value): 0:2, 2:5
[STEP 2] Worked solution
  · Summary: permutation 1..5 + hint/inequality propagation -> unique model · 4 inequalities (visible 3 / hidden 1) · 4 SEGs
  · Solution vector: [2, 1, 5, 4, 3]
    [SEG 1] positions 0<->1 (visible): 2 > 1 -> holds
    [SEG 2] positions 1<->2 (visible): 1 < 5 -> holds
    [SEG 3] positions 2<->3 (hidden): 5 > 4 -> holds
    [SEG 4] positions 3<->4 (visible): 4 > 3 -> holds
[STEP 3] Answer and verification
  - Final answer: 21543
  - Each of 1..5 used exactly once: OK
  - Givens match and every inequality (visible + hidden) holds as shown in the [SEG] trace.",easy
inequality_en_easy_0001,"Solve this inequality puzzle. Fill in the blanks with numbers from 1 to 6.

Each number from 1 to 6 must be used exactly once.
The inequality symbols (< or >) between positions must be satisfied.

Puzzle: 6 > 3 > _ > _ ? _ > _

Rules:
- '_' represents an empty position to fill
- '<' means the left number is smaller than the right number
- '>' means the left number is larger than the right number
- Each number 1 to 6 appears exactly once
- '?' means the inequality is unknown (could be < or >)

Provide your answer as a sequence of 6 digits (no spaces).

Example format:
Answer: 123456",632154,"STEP0=meta · STEP1=given · STEP2=worked solution · STEP3=answer and verification
[STEP 0] Problem meta
  - Difficulty: easy
  - Grid size: 6 (permutation of 1..6)
  - Givens: 2 · visible inequalities: 4 · hidden: 1
  - Final answer is confirmed in [STEP 3]
[STEP 1] Given
  - Puzzle: 6 > 3 > _ > _ ? _ > _
  - Givens (pos:value): 0:6, 1:3
[STEP 2] Worked solution
  · Summary: permutation 1..6 + hint/inequality propagation -> unique model · 5 inequalities (visible 4 / hidden 1) · 5 SEGs
  · Solution vector: [6, 3, 2, 1, 5, 4]
    [SEG 1] positions 0<->1 (visible): 6 > 3 -> holds
    [SEG 2] positions 1<->2 (visible): 3 > 2 -> holds
    [SEG 3] positions 2<->3 (visible): 2 > 1 -> holds
    [SEG 4] positions 3<->4 (hidden): 1 < 5 -> holds
    [SEG 5] positions 4<->5 (visible): 5 > 4 -> holds
[STEP 3] Answer and verification
  - Final answer: 632154
  - Each of 1..6 used exactly once: OK
  - Givens match and every inequality (visible + hidden) holds as shown in the [SEG] trace.",easy
inequality_en_easy_0002,"Solve this inequality puzzle. Fill in the blanks with numbers from 1 to 5.

Each number from 1 to 5 must be used exactly once.
The inequality symbols (< or >) between positions must be satisfied.

Puzzle: 3 > 1 < 5 ? _ < _

Rules:
- '_' represents an empty position to fill
- '<' means the left number is smaller than the right number
- '>' means the left number is larger than the right number
- Each number 1 to 5 appears exactly once
- '?' means the inequality is unknown (could be < or >)

Provide your answer as a sequence of 5 digits (no spaces).

Example format:
Answer: 12345",31524,"STEP0=meta · STEP1=given · STEP2=worked solution · STEP3=answer and verification
[STEP 0] Problem meta
  - Difficulty: easy
  - Grid size: 5 (permutation of 1..5)
  - Givens: 3 · visible inequalities: 3 · hidden: 1
  - Final answer is confirmed in [STEP 3]
[STEP 1] Given
  - Puzzle: 3 > 1 < 5 ? _ < _
  - Givens (pos:value): 0:3, 1:1, 2:5
[STEP 2] Worked solution
  · Summary: permutation 1..5 + hint/inequality propagation -> unique model · 4 inequalities (visible 3 / hidden 1) · 4 SEGs
  · Solution vector: [3, 1, 5, 2, 4]
    [SEG 1] positions 0<->1 (visible): 3 > 1 -> holds
    [SEG 2] positions 1<->2 (visible): 1 < 5 -> holds
    [SEG 3] positions 2<->3 (hidden): 5 > 2 -> holds
    [SEG 4] positions 3<->4 (visible): 2 < 4 -> holds
[STEP 3] Answer and verification
  - Final answer: 31524
  - Each of 1..5 used exactly once: OK
  - Givens match and every inequality (visible + hidden) holds as shown in the [SEG] trace.",easy
inequality_en_easy_0003,"Solve this inequality puzzle. Fill in the blanks with numbers from 1 to 6.

Each number from 1 to 6 must be used exactly once.
The inequality symbols (< or >) between positions must be satisfied.

Puzzle: 5 > _ > 1 < 3 > _ ? _

Rules:
- '_' represents an empty position to fill
- '<' means the left number is smaller than the right number
- '>' means the left number is larger than the right number
- Each number 1 to 6 appears exactly once
- '?' means the inequality is unknown (could be < or >)

Provide your answer as a sequence of 6 digits (no spaces).

Example format:
Answer: 123456",541326,"STEP0=meta · STEP1=given · STEP2=worked solution · STEP3=answer and verification
[STEP 0] Problem meta
  - Difficulty: easy
  - Grid size: 6 (permutation of 1..6)
  - Givens: 3 · visible inequalities: 4 · hidden: 1
  - Final answer is confirmed in [STEP 3]
[STEP 1] Given
  - Puzzle: 5 > _ > 1 < 3 > _ ? _
  - Givens (pos:value): 0:5, 2:1, 3:3
[STEP 2] Worked solution
  · Summary: permutation 1..6 + hint/inequality propagation -> unique model · 5 inequalities (visible 4 / hidden 1) · 5 SEGs
  · Solution vector: [5, 4, 1, 3, 2, 6]
    [SEG 1] positions 0<->1 (visible): 5 > 4 -> holds
    [SEG 2] positions 1<->2 (visible): 4 > 1 -> holds
    [SEG 3] positions 2<->3 (visible): 1 < 3 -> holds
    [SEG 4] positions 3<->4 (visible): 3 > 2 -> holds
    [SEG 5] positions 4<->5 (hidden): 2 < 6 -> holds
[STEP 3] Answer and verification
  - Final answer: 541326
  - Each of 1..6 used exactly once: OK
  - Givens match and every inequality (visible + hidden) holds as shown in the [SEG] trace.",easy
inequality_en_easy_0004,"Solve this inequality puzzle. Fill in the blanks with numbers from 1 to 6.

Each number from 1 to 6 must be used exactly once.
The inequality symbols (< or >) between positions must be satisfied.

Puzzle: _ > 5 > 1 < 3 ? _ < _

Rules:
- '_' represents an empty position to fill
- '<' means the left number is smaller than the right number
- '>' means the left number is larger than the right number
- Each number 1 to 6 appears exactly once
- '?' means the inequality is unknown (could be < or >)

Provide your answer as a sequence of 6 digits (no spaces).

Example format:
Answer: 123456",651324,"STEP0=meta · STEP1=given · STEP2=worked solution · STEP3=answer and verification
[STEP 0] Problem meta
  - Difficulty: easy
  - Grid size: 6 (permutation of 1..6)
  - Givens: 3 · visible inequalities: 4 · hidden: 1
  - Final answer is confirmed in [STEP 3]
[STEP 1] Given
  - Puzzle: _ > 5 > 1 < 3 ? _ < _
  - Givens (pos:value): 1:5, 2:1, 3:3
[STEP 2] Worked solution
  · Summary: permutation 1..6 + hint/inequality propagation -> unique model · 5 inequalities (visible 4 / hidden 1) · 5 SEGs
  · Solution vector: [6, 5, 1, 3, 2, 4]
    [SEG 1] positions 0<->1 (visible): 6 > 5 -> holds
    [SEG 2] positions 1<->2 (visible): 5 > 1 -> holds
    [SEG 3] positions 2<->3 (visible): 1 < 3 -> holds
    [SEG 4] positions 3<->4 (hidden): 3 > 2 -> holds
    [SEG 5] positions 4<->5 (visible): 2 < 4 -> holds
[STEP 3] Answer and verification
  - Final answer: 651324
  - Each of 1..6 used exactly once: OK
  - Givens match and every inequality (visible + hidden) holds as shown in the [SEG] trace.",easy
inequality_en_easy_0005,"Solve this inequality puzzle. Fill in the blanks with numbers from 1 to 5.

Each number from 1 to 5 must be used exactly once.
The inequality symbols (< or >) between positions must be satisfied.

Puzzle: 2 < 4 ? _ < _ < _

Rules:
- '_' represents an empty position to fill
- '<' means the left number is smaller than the right number
- '>' means the left number is larger than the right number
- Each number 1 to 5 appears exactly once
- '?' means the inequality is unknown (could be < or >)

Provide your answer as a sequence of 5 digits (no spaces).

Example format:
Answer: 12345",24135,"STEP0=meta · STEP1=given · STEP2=worked solution · STEP3=answer and verification
[STEP 0] Problem meta
  - Difficulty: easy
  - Grid size: 5 (permutation of 1..5)
  - Givens: 2 · visible inequalities: 3 · hidden: 1
  - Final answer is confirmed in [STEP 3]
[STEP 1] Given
  - Puzzle: 2 < 4 ? _ < _ < _
  - Givens (pos:value): 0:2, 1:4
[STEP 2] Worked solution
  · Summary: permutation 1..5 + hint/inequality propagation -> unique model · 4 inequalities (visible 3 / hidden 1) · 4 SEGs
  · Solution vector: [2, 4, 1, 3, 5]
    [SEG 1] positions 0<->1 (visible): 2 < 4 -> holds
    [SEG 2] positions 1<->2 (hidden): 4 > 1 -> holds
    [SEG 3] positions 2<->3 (visible): 1 < 3 -> holds
    [SEG 4] positions 3<->4 (visible): 3 < 5 -> holds
[STEP 3] Answer and verification
  - Final answer: 24135
  - Each of 1..5 used exactly once: OK
  - Givens match and every inequality (visible + hidden) holds as shown in the [SEG] trace.",easy
inequality_en_easy_0006,"Solve this inequality puzzle. Fill in the blanks with numbers from 1 to 5.

Each number from 1 to 5 must be used exactly once.
The inequality symbols (< or >) between positions must be satisfied.

Puzzle: 5 ? 2 < _ < _ > _

Rules:
- '_' represents an empty position to fill
- '<' means the left number is smaller than the right number
- '>' means the left number is larger than the right number
- Each number 1 to 5 appears exactly once
- '?' means the inequality is unknown (could be < or >)

Provide your answer as a sequence of 5 digits (no spaces).

Example format:
Answer: 12345",52341,"STEP0=meta · STEP1=given · STEP2=worked solution · STEP3=answer and verification
[STEP 0] Problem meta
  - Difficulty: easy
  - Grid size: 5 (permutation of 1..5)
  - Givens: 2 · visible inequalities: 3 · hidden: 1
  - Final answer is confirmed in [STEP 3]
[STEP 1] Given
  - Puzzle: 5 ? 2 < _ < _ > _
  - Givens (pos:value): 0:5, 1:2
[STEP 2] Worked solution
  · Summary: permutation 1..5 + hint/inequality propagation -> unique model · 4 inequalities (visible 3 / hidden 1) · 4 SEGs
  · Solution vector: [5, 2, 3, 4, 1]
    [SEG 1] positions 0<->1 (hidden): 5 > 2 -> holds
    [SEG 2] positions 1<->2 (visible): 2 < 3 -> holds
    [SEG 3] positions 2<->3 (visible): 3 < 4 -> holds
    [SEG 4] positions 3<->4 (visible): 4 > 1 -> holds
[STEP 3] Answer and verification
  - Final answer: 52341
  - Each of 1..5 used exactly once: OK
  - Givens match and every inequality (visible + hidden) holds as shown in the [SEG] trace.",easy
inequality_en_easy_0007,"Solve this inequality puzzle. Fill in the blanks with numbers from 1 to 6.

Each number from 1 to 6 must be used exactly once.
The inequality symbols (< or >) between positions must be satisfied.

Puzzle: 3 < _ < _ ? 4 > _ < _

Rules:
- '_' represents an empty position to fill
- '<' means the left number is smaller than the right number
- '>' means the left number is larger than the right number
- Each number 1 to 6 appears exactly once
- '?' means the inequality is unknown (could be < or >)

Provide your answer as a sequence of 6 digits (no spaces).

Example format:
Answer: 123456",356412,"STEP0=meta · STEP1=given · STEP2=worked solution · STEP3=answer and verification
[STEP 0] Problem meta
  - Difficulty: easy
  - Grid size: 6 (permutation of 1..6)
  - Givens: 2 · visible inequalities: 4 · hidden: 1
  - Final answer is confirmed in [STEP 3]
[STEP 1] Given
  - Puzzle: 3 < _ < _ ? 4 > _ < _
  - Givens (pos:value): 0:3, 3:4
[STEP 2] Worked solution
  · Summary: permutation 1..6 + hint/inequality propagation -> unique model · 5 inequalities (visible 4 / hidden 1) · 5 SEGs
  · Solution vector: [3, 5, 6, 4, 1, 2]
    [SEG 1] positions 0<->1 (visible): 3 < 5 -> holds
    [SEG 2] positions 1<->2 (visible): 5 < 6 -> holds
    [SEG 3] positions 2<->3 (hidden): 6 > 4 -> holds
    [SEG 4] positions 3<->4 (visible): 4 > 1 -> holds
    [SEG 5] positions 4<->5 (visible): 1 < 2 -> holds
[STEP 3] Answer and verification
  - Final answer: 356412
  - Each of 1..6 used exactly once: OK
  - Givens match and every inequality (visible + hidden) holds as shown in the [SEG] trace.",easy
inequality_en_easy_0008,"Solve this inequality puzzle. Fill in the blanks with numbers from 1 to 6.

Each number from 1 to 6 must be used exactly once.
The inequality symbols (< or >) between positions must be satisfied.

Puzzle: 6 > 3 ? _ < _ < _ < _

Rules:
- '_' represents an empty position to fill
- '<' means the left number is smaller than the right number
- '>' means the left number is larger than the right number
- Each number 1 to 6 appears exactly once
- '?' means the inequality is unknown (could be < or >)

Provide your answer as a sequence of 6 digits (no spaces).

Example format:
Answer: 123456",631245,"STEP0=meta · STEP1=given · STEP2=worked solution · STEP3=answer and verification
[STEP 0] Problem meta
  - Difficulty: easy
  - Grid size: 6 (permutation of 1..6)
  - Givens: 2 · visible inequalities: 4 · hidden: 1
  - Final answer is confirmed in [STEP 3]
[STEP 1] Given
  - Puzzle: 6 > 3 ? _ < _ < _ < _
  - Givens (pos:value): 0:6, 1:3
[STEP 2] Worked solution
  · Summary: permutation 1..6 + hint/inequality propagation -> unique model · 5 inequalities (visible 4 / hidden 1) · 5 SEGs
  · Solution vector: [6, 3, 1, 2, 4, 5]
    [SEG 1] positions 0<->1 (visible): 6 > 3 -> holds
    [SEG 2] positions 1<->2 (hidden): 3 > 1 -> holds
    [SEG 3] positions 2<->3 (visible): 1 < 2 -> holds
    [SEG 4] positions 3<->4 (visible): 2 < 4 -> holds
    [SEG 5] positions 4<->5 (visible): 4 < 5 -> holds
[STEP 3] Answer and verification
  - Final answer: 631245
  - Each of 1..6 used exactly once: OK
  - Givens match and every inequality (visible + hidden) holds as shown in the [SEG] trace.",easy
inequality_en_easy_0009,"Solve this inequality puzzle. Fill in the blanks with numbers from 1 to 5.

Each number from 1 to 5 must be used exactly once.
The inequality symbols (< or >) between positions must be satisfied.

Puzzle: 3 < _ > 4 ? _ < _

Rules:
- '_' represents an empty position to fill
- '<' means the left number is smaller than the right number
- '>' means the left number is larger than the right number
- Each number 1 to 5 appears exactly once
- '?' means the inequality is unknown (could be < or >)

Provide your answer as a sequence of 5 digits (no spaces).

Example format:
Answer: 12345",35412,"STEP0=meta · STEP1=given · STEP2=worked solution · STEP3=answer and verification
[STEP 0] Problem meta
  - Difficulty: easy
  - Grid size: 5 (permutation of 1..5)
  - Givens: 2 · visible inequalities: 3 · hidden: 1
  - Final answer is confirmed in [STEP 3]
[STEP 1] Given
  - Puzzle: 3 < _ > 4 ? _ < _
  - Givens (pos:value): 0:3, 2:4
[STEP 2] Worked solution
  · Summary: permutation 1..5 + hint/inequality propagation -> unique model · 4 inequalities (visible 3 / hidden 1) · 4 SEGs
  · Solution vector: [3, 5, 4, 1, 2]
    [SEG 1] positions 0<->1 (visible): 3 < 5 -> holds
    [SEG 2] positions 1<->2 (visible): 5 > 4 -> holds
    [SEG 3] positions 2<->3 (hidden): 4 > 1 -> holds
    [SEG 4] positions 3<->4 (visible): 1 < 2 -> holds
[STEP 3] Answer and verification
  - Final answer: 35412
  - Each of 1..5 used exactly once: OK
  - Givens match and every inequality (visible + hidden) holds as shown in the [SEG] trace.",easy
