id,question,answer,solution,difficulty
number_baseball_en_easy_0000,"Solve this Number Baseball (Bulls and Cows) puzzle.

Rules:
- The secret number has 3 digits, each digit is unique (0-9)
- ""Strike"" means a digit is correct AND in the correct position
- ""Ball"" means a digit is correct BUT in the wrong position
- Your task: Find the secret number that satisfies ALL hints

Hints:
  1. Guess: 326 -> 0 Strike(s), 3 Ball(s)
  2. Guess: 273 -> 0 Strike(s), 2 Ball(s)
  3. Guess: 623 -> 1 Strike(s), 2 Ball(s)

Think step by step and find the unique 3-digit secret number.

Provide your answer in this format:
Answer: [the 3-digit secret number]",632,"STEP0=meta · STEP1=given · STEP2=worked solution · STEP3=answer and verification
[STEP 0] Problem meta
  - Difficulty: easy
  - Digits: 3 (all distinct)
  - Hints: 3 · initial candidates: 720
  - Final answer is confirmed in [STEP 3]
[STEP 1] Given
  - Rule: each digit of the secret is distinct (0-9).
  - S(trike) = right digit + right position; B(all) = right digit only.
  1. guess 326 -> 0S 3B
  2. guess 273 -> 0S 2B
  3. guess 623 -> 1S 2B
[STEP 2] Worked solution
  · Summary: shrink the candidate set by each S/B hint · 720 -> 1 · 3 SEGs
    [SEG 1] apply hint 1: 326 -> 0S 3B · candidates 720->2 · info 8.49 bits
    [SEG 2] apply hint 2: 273 -> 0S 2B · candidates 2->1 · info 1.00 bits
    [SEG 3] apply hint 3: 623 -> 1S 2B · candidates 1->1 · info 0.00 bits
[STEP 3] Answer and verification
  - Final answer: 632
  - Recompute S/B of each hint against the answer; all must match exactly.",easy
number_baseball_en_easy_0001,"Solve this Number Baseball (Bulls and Cows) puzzle.

Rules:
- The secret number has 3 digits, each digit is unique (0-9)
- ""Strike"" means a digit is correct AND in the correct position
- ""Ball"" means a digit is correct BUT in the wrong position
- Your task: Find the secret number that satisfies ALL hints

Hints:
  1. Guess: 057 -> 0 Strike(s), 2 Ball(s)
  2. Guess: 475 -> 0 Strike(s), 2 Ball(s)
  3. Guess: 345 -> 0 Strike(s), 2 Ball(s)

Think step by step and find the unique 3-digit secret number.

Provide your answer in this format:
Answer: [the 3-digit secret number]",504,"STEP0=meta · STEP1=given · STEP2=worked solution · STEP3=answer and verification
[STEP 0] Problem meta
  - Difficulty: easy
  - Digits: 3 (all distinct)
  - Hints: 3 · initial candidates: 720
  - Final answer is confirmed in [STEP 3]
[STEP 1] Given
  - Rule: each digit of the secret is distinct (0-9).
  - S(trike) = right digit + right position; B(all) = right digit only.
  1. guess 057 -> 0S 2B
  2. guess 475 -> 0S 2B
  3. guess 345 -> 0S 2B
[STEP 2] Worked solution
  · Summary: shrink the candidate set by each S/B hint · 720 -> 1 · 3 SEGs
    [SEG 1] apply hint 1: 057 -> 0S 2B · candidates 720->63 · info 3.51 bits
    [SEG 2] apply hint 2: 475 -> 0S 2B · candidates 63->4 · info 3.98 bits
    [SEG 3] apply hint 3: 345 -> 0S 2B · candidates 4->1 · info 2.00 bits
[STEP 3] Answer and verification
  - Final answer: 504
  - Recompute S/B of each hint against the answer; all must match exactly.",easy
number_baseball_en_easy_0002,"Solve this Number Baseball (Bulls and Cows) puzzle.

Rules:
- The secret number has 3 digits, each digit is unique (0-9)
- ""Strike"" means a digit is correct AND in the correct position
- ""Ball"" means a digit is correct BUT in the wrong position
- Your task: Find the secret number that satisfies ALL hints

Hints:
  1. Guess: 247 -> 0 Strike(s), 3 Ball(s)
  2. Guess: 642 -> 0 Strike(s), 2 Ball(s)
  3. Guess: 072 -> 0 Strike(s), 2 Ball(s)

Think step by step and find the unique 3-digit secret number.

Provide your answer in this format:
Answer: [the 3-digit secret number]",724,"STEP0=meta · STEP1=given · STEP2=worked solution · STEP3=answer and verification
[STEP 0] Problem meta
  - Difficulty: easy
  - Digits: 3 (all distinct)
  - Hints: 3 · initial candidates: 720
  - Final answer is confirmed in [STEP 3]
[STEP 1] Given
  - Rule: each digit of the secret is distinct (0-9).
  - S(trike) = right digit + right position; B(all) = right digit only.
  1. guess 247 -> 0S 3B
  2. guess 642 -> 0S 2B
  3. guess 072 -> 0S 2B
[STEP 2] Worked solution
  · Summary: shrink the candidate set by each S/B hint · 720 -> 1 · 3 SEGs
    [SEG 1] apply hint 1: 247 -> 0S 3B · candidates 720->2 · info 8.49 bits
    [SEG 2] apply hint 2: 642 -> 0S 2B · candidates 2->1 · info 1.00 bits
    [SEG 3] apply hint 3: 072 -> 0S 2B · candidates 1->1 · info 0.00 bits
[STEP 3] Answer and verification
  - Final answer: 724
  - Recompute S/B of each hint against the answer; all must match exactly.",easy
number_baseball_en_easy_0003,"Solve this Number Baseball (Bulls and Cows) puzzle.

Rules:
- The secret number has 3 digits, each digit is unique (0-9)
- ""Strike"" means a digit is correct AND in the correct position
- ""Ball"" means a digit is correct BUT in the wrong position
- Your task: Find the secret number that satisfies ALL hints

Hints:
  1. Guess: 936 -> 0 Strike(s), 3 Ball(s)
  2. Guess: 638 -> 0 Strike(s), 2 Ball(s)
  3. Guess: 963 -> 1 Strike(s), 2 Ball(s)

Think step by step and find the unique 3-digit secret number.

Provide your answer in this format:
Answer: [the 3-digit secret number]",369,"STEP0=meta · STEP1=given · STEP2=worked solution · STEP3=answer and verification
[STEP 0] Problem meta
  - Difficulty: easy
  - Digits: 3 (all distinct)
  - Hints: 3 · initial candidates: 720
  - Final answer is confirmed in [STEP 3]
[STEP 1] Given
  - Rule: each digit of the secret is distinct (0-9).
  - S(trike) = right digit + right position; B(all) = right digit only.
  1. guess 936 -> 0S 3B
  2. guess 638 -> 0S 2B
  3. guess 963 -> 1S 2B
[STEP 2] Worked solution
  · Summary: shrink the candidate set by each S/B hint · 720 -> 1 · 3 SEGs
    [SEG 1] apply hint 1: 936 -> 0S 3B · candidates 720->2 · info 8.49 bits
    [SEG 2] apply hint 2: 638 -> 0S 2B · candidates 2->1 · info 1.00 bits
    [SEG 3] apply hint 3: 963 -> 1S 2B · candidates 1->1 · info 0.00 bits
[STEP 3] Answer and verification
  - Final answer: 369
  - Recompute S/B of each hint against the answer; all must match exactly.",easy
number_baseball_en_easy_0004,"Solve this Number Baseball (Bulls and Cows) puzzle.

Rules:
- The secret number has 3 digits, each digit is unique (0-9)
- ""Strike"" means a digit is correct AND in the correct position
- ""Ball"" means a digit is correct BUT in the wrong position
- Your task: Find the secret number that satisfies ALL hints

Hints:
  1. Guess: 863 -> 0 Strike(s), 3 Ball(s)
  2. Guess: 693 -> 0 Strike(s), 2 Ball(s)
  3. Guess: 836 -> 1 Strike(s), 2 Ball(s)

Think step by step and find the unique 3-digit secret number.

Provide your answer in this format:
Answer: [the 3-digit secret number]",386,"STEP0=meta · STEP1=given · STEP2=worked solution · STEP3=answer and verification
[STEP 0] Problem meta
  - Difficulty: easy
  - Digits: 3 (all distinct)
  - Hints: 3 · initial candidates: 720
  - Final answer is confirmed in [STEP 3]
[STEP 1] Given
  - Rule: each digit of the secret is distinct (0-9).
  - S(trike) = right digit + right position; B(all) = right digit only.
  1. guess 863 -> 0S 3B
  2. guess 693 -> 0S 2B
  3. guess 836 -> 1S 2B
[STEP 2] Worked solution
  · Summary: shrink the candidate set by each S/B hint · 720 -> 1 · 3 SEGs
    [SEG 1] apply hint 1: 863 -> 0S 3B · candidates 720->2 · info 8.49 bits
    [SEG 2] apply hint 2: 693 -> 0S 2B · candidates 2->1 · info 1.00 bits
    [SEG 3] apply hint 3: 836 -> 1S 2B · candidates 1->1 · info 0.00 bits
[STEP 3] Answer and verification
  - Final answer: 386
  - Recompute S/B of each hint against the answer; all must match exactly.",easy
number_baseball_en_easy_0005,"Solve this Number Baseball (Bulls and Cows) puzzle.

Rules:
- The secret number has 3 digits, each digit is unique (0-9)
- ""Strike"" means a digit is correct AND in the correct position
- ""Ball"" means a digit is correct BUT in the wrong position
- Your task: Find the secret number that satisfies ALL hints

Hints:
  1. Guess: 870 -> 0 Strike(s), 3 Ball(s)
  2. Guess: 082 -> 0 Strike(s), 2 Ball(s)
  3. Guess: 078 -> 1 Strike(s), 2 Ball(s)

Think step by step and find the unique 3-digit secret number.

Provide your answer in this format:
Answer: [the 3-digit secret number]",708,"STEP0=meta · STEP1=given · STEP2=worked solution · STEP3=answer and verification
[STEP 0] Problem meta
  - Difficulty: easy
  - Digits: 3 (all distinct)
  - Hints: 3 · initial candidates: 720
  - Final answer is confirmed in [STEP 3]
[STEP 1] Given
  - Rule: each digit of the secret is distinct (0-9).
  - S(trike) = right digit + right position; B(all) = right digit only.
  1. guess 870 -> 0S 3B
  2. guess 082 -> 0S 2B
  3. guess 078 -> 1S 2B
[STEP 2] Worked solution
  · Summary: shrink the candidate set by each S/B hint · 720 -> 1 · 3 SEGs
    [SEG 1] apply hint 1: 870 -> 0S 3B · candidates 720->2 · info 8.49 bits
    [SEG 2] apply hint 2: 082 -> 0S 2B · candidates 2->1 · info 1.00 bits
    [SEG 3] apply hint 3: 078 -> 1S 2B · candidates 1->1 · info 0.00 bits
[STEP 3] Answer and verification
  - Final answer: 708
  - Recompute S/B of each hint against the answer; all must match exactly.",easy
number_baseball_en_easy_0006,"Solve this Number Baseball (Bulls and Cows) puzzle.

Rules:
- The secret number has 3 digits, each digit is unique (0-9)
- ""Strike"" means a digit is correct AND in the correct position
- ""Ball"" means a digit is correct BUT in the wrong position
- Your task: Find the secret number that satisfies ALL hints

Hints:
  1. Guess: 712 -> 0 Strike(s), 3 Ball(s)
  2. Guess: 218 -> 0 Strike(s), 2 Ball(s)
  3. Guess: 172 -> 1 Strike(s), 2 Ball(s)

Think step by step and find the unique 3-digit secret number.

Provide your answer in this format:
Answer: [the 3-digit secret number]",127,"STEP0=meta · STEP1=given · STEP2=worked solution · STEP3=answer and verification
[STEP 0] Problem meta
  - Difficulty: easy
  - Digits: 3 (all distinct)
  - Hints: 3 · initial candidates: 720
  - Final answer is confirmed in [STEP 3]
[STEP 1] Given
  - Rule: each digit of the secret is distinct (0-9).
  - S(trike) = right digit + right position; B(all) = right digit only.
  1. guess 712 -> 0S 3B
  2. guess 218 -> 0S 2B
  3. guess 172 -> 1S 2B
[STEP 2] Worked solution
  · Summary: shrink the candidate set by each S/B hint · 720 -> 1 · 3 SEGs
    [SEG 1] apply hint 1: 712 -> 0S 3B · candidates 720->2 · info 8.49 bits
    [SEG 2] apply hint 2: 218 -> 0S 2B · candidates 2->1 · info 1.00 bits
    [SEG 3] apply hint 3: 172 -> 1S 2B · candidates 1->1 · info 0.00 bits
[STEP 3] Answer and verification
  - Final answer: 127
  - Recompute S/B of each hint against the answer; all must match exactly.",easy
number_baseball_en_easy_0007,"Solve this Number Baseball (Bulls and Cows) puzzle.

Rules:
- The secret number has 3 digits, each digit is unique (0-9)
- ""Strike"" means a digit is correct AND in the correct position
- ""Ball"" means a digit is correct BUT in the wrong position
- Your task: Find the secret number that satisfies ALL hints

Hints:
  1. Guess: 435 -> 0 Strike(s), 3 Ball(s)
  2. Guess: 549 -> 0 Strike(s), 2 Ball(s)
  3. Guess: 345 -> 1 Strike(s), 2 Ball(s)

Think step by step and find the unique 3-digit secret number.

Provide your answer in this format:
Answer: [the 3-digit secret number]",354,"STEP0=meta · STEP1=given · STEP2=worked solution · STEP3=answer and verification
[STEP 0] Problem meta
  - Difficulty: easy
  - Digits: 3 (all distinct)
  - Hints: 3 · initial candidates: 720
  - Final answer is confirmed in [STEP 3]
[STEP 1] Given
  - Rule: each digit of the secret is distinct (0-9).
  - S(trike) = right digit + right position; B(all) = right digit only.
  1. guess 435 -> 0S 3B
  2. guess 549 -> 0S 2B
  3. guess 345 -> 1S 2B
[STEP 2] Worked solution
  · Summary: shrink the candidate set by each S/B hint · 720 -> 1 · 3 SEGs
    [SEG 1] apply hint 1: 435 -> 0S 3B · candidates 720->2 · info 8.49 bits
    [SEG 2] apply hint 2: 549 -> 0S 2B · candidates 2->1 · info 1.00 bits
    [SEG 3] apply hint 3: 345 -> 1S 2B · candidates 1->1 · info 0.00 bits
[STEP 3] Answer and verification
  - Final answer: 354
  - Recompute S/B of each hint against the answer; all must match exactly.",easy
number_baseball_en_easy_0008,"Solve this Number Baseball (Bulls and Cows) puzzle.

Rules:
- The secret number has 3 digits, each digit is unique (0-9)
- ""Strike"" means a digit is correct AND in the correct position
- ""Ball"" means a digit is correct BUT in the wrong position
- Your task: Find the secret number that satisfies ALL hints

Hints:
  1. Guess: 635 -> 0 Strike(s), 3 Ball(s)
  2. Guess: 350 -> 0 Strike(s), 2 Ball(s)
  3. Guess: 365 -> 1 Strike(s), 2 Ball(s)

Think step by step and find the unique 3-digit secret number.

Provide your answer in this format:
Answer: [the 3-digit secret number]",563,"STEP0=meta · STEP1=given · STEP2=worked solution · STEP3=answer and verification
[STEP 0] Problem meta
  - Difficulty: easy
  - Digits: 3 (all distinct)
  - Hints: 3 · initial candidates: 720
  - Final answer is confirmed in [STEP 3]
[STEP 1] Given
  - Rule: each digit of the secret is distinct (0-9).
  - S(trike) = right digit + right position; B(all) = right digit only.
  1. guess 635 -> 0S 3B
  2. guess 350 -> 0S 2B
  3. guess 365 -> 1S 2B
[STEP 2] Worked solution
  · Summary: shrink the candidate set by each S/B hint · 720 -> 1 · 3 SEGs
    [SEG 1] apply hint 1: 635 -> 0S 3B · candidates 720->2 · info 8.49 bits
    [SEG 2] apply hint 2: 350 -> 0S 2B · candidates 2->1 · info 1.00 bits
    [SEG 3] apply hint 3: 365 -> 1S 2B · candidates 1->1 · info 0.00 bits
[STEP 3] Answer and verification
  - Final answer: 563
  - Recompute S/B of each hint against the answer; all must match exactly.",easy
number_baseball_en_easy_0009,"Solve this Number Baseball (Bulls and Cows) puzzle.

Rules:
- The secret number has 3 digits, each digit is unique (0-9)
- ""Strike"" means a digit is correct AND in the correct position
- ""Ball"" means a digit is correct BUT in the wrong position
- Your task: Find the secret number that satisfies ALL hints

Hints:
  1. Guess: 673 -> 0 Strike(s), 3 Ball(s)
  2. Guess: 703 -> 0 Strike(s), 2 Ball(s)
  3. Guess: 376 -> 1 Strike(s), 2 Ball(s)

Think step by step and find the unique 3-digit secret number.

Provide your answer in this format:
Answer: [the 3-digit secret number]",367,"STEP0=meta · STEP1=given · STEP2=worked solution · STEP3=answer and verification
[STEP 0] Problem meta
  - Difficulty: easy
  - Digits: 3 (all distinct)
  - Hints: 3 · initial candidates: 720
  - Final answer is confirmed in [STEP 3]
[STEP 1] Given
  - Rule: each digit of the secret is distinct (0-9).
  - S(trike) = right digit + right position; B(all) = right digit only.
  1. guess 673 -> 0S 3B
  2. guess 703 -> 0S 2B
  3. guess 376 -> 1S 2B
[STEP 2] Worked solution
  · Summary: shrink the candidate set by each S/B hint · 720 -> 1 · 3 SEGs
    [SEG 1] apply hint 1: 673 -> 0S 3B · candidates 720->2 · info 8.49 bits
    [SEG 2] apply hint 2: 703 -> 0S 2B · candidates 2->1 · info 1.00 bits
    [SEG 3] apply hint 3: 376 -> 1S 2B · candidates 1->1 · info 0.00 bits
[STEP 3] Answer and verification
  - Final answer: 367
  - Recompute S/B of each hint against the answer; all must match exactly.",easy
