id,question,answer,solution,difficulty,type,n
hanoi_ko_easy_0000,"3개의 원판이 있는 하노이의 탑 퍼즐의 최적 해법을 생각해 봅시다.
모든 원판은 기둥 2에서 시작하여 기둥 0(으)로 이동해야 합니다 (기둥 1은(는) 보조).
이 최적 수열에서 5번째 이동에서 어떤 원판이 움직입니까?","(1, 1, 2)","STEP0=메타 · STEP1=주어진 조건 · STEP2=풀이 과정 · STEP3=정답 및 검증
[STEP 0] 문제 메타
  - 최적 하노이의 탑 (2^n-1 이동) 및 표준 규칙
  - 최종 답은 [STEP 3]에서 확인
[STEP 1] 주어진 조건
  - n, 기둥 번호, k (문제에 명시된 대로)
[STEP 2] 풀이 과정
  · 요약: 최적 수열을 생성하여 k번째 이동의 원판 식별 · n=3 · 총 이동=7 · 유형=kth_disk · 3 SEGs
    [SEG 1] 3개 원판의 최적 이동 수열 생성: 기둥 2 → 기둥 0
    [SEG 2] 총 이동 횟수 = 7
    [SEG 3] 5번째 이동은 원판 1이(가) 기둥 1에서 기둥 2(으)로 이동
[STEP 3] 정답 및 검증
  - 최종 답: (1, 1, 2)
  - 2^공식 / 시뮬레이션과 [SEG] 추적 결과 교차 검증.",easy,kth_disk,3
hanoi_ko_easy_0001,"3개의 원판이 있는 하노이의 탑 퍼즐(기둥 1 → 기둥 2, 기둥 0 보조)의
최적 이동 수열에서, 정확히 5번의 이동이 수행된 후
기둥 2에 있는 원판들은 무엇입니까? 오름차순으로 나열하시오.","(3, 2, 2)","STEP0=메타 · STEP1=주어진 조건 · STEP2=풀이 과정 · STEP3=정답 및 검증
[STEP 0] 문제 메타
  - 최적 하노이의 탑 (2^n-1 이동) 및 표준 규칙
  - 최종 답은 [STEP 3]에서 확인
[STEP 1] 주어진 조건
  - n, 기둥 번호, k (문제에 명시된 대로)
[STEP 2] 풀이 과정
  · 요약: k번 이동 후 기둥 상태 시뮬레이션 · n=3 · 총 이동=7 · 유형=disks_on_peg_after_k · 4 SEGs
    [SEG 1] 3개 원판의 최적 수열 생성
    [SEG 2] 5번 이동 시뮬레이션
    [SEG 3] 5번 이동 후 상태: 기둥 0: [2], 기둥 1: [1], 기둥 2: [3]
    [SEG 4] 기둥 2에 있는 원판: [3]
[STEP 3] 정답 및 검증
  - 최종 답: (3, 2, 2)
  - 2^공식 / 시뮬레이션과 [SEG] 추적 결과 교차 검증.",easy,disks_on_peg_after_k,3
hanoi_ko_easy_0002,"3개의 원판이 있는 하노이의 탑 퍼즐(기둥 1 → 기둥 2, 기둥 0 보조)의
최적 이동 수열에서, 정확히 6번의 이동이 수행된 후
기둥 0에 있는 원판들은 무엇입니까? 오름차순으로 나열하시오.","(없음, 0, 0)","STEP0=메타 · STEP1=주어진 조건 · STEP2=풀이 과정 · STEP3=정답 및 검증
[STEP 0] 문제 메타
  - 최적 하노이의 탑 (2^n-1 이동) 및 표준 규칙
  - 최종 답은 [STEP 3]에서 확인
[STEP 1] 주어진 조건
  - n, 기둥 번호, k (문제에 명시된 대로)
[STEP 2] 풀이 과정
  · 요약: k번 이동 후 기둥 상태 시뮬레이션 · n=3 · 총 이동=7 · 유형=disks_on_peg_after_k · 4 SEGs
    [SEG 1] 3개 원판의 최적 수열 생성
    [SEG 2] 6번 이동 시뮬레이션
    [SEG 3] 6번 이동 후 상태: 기둥 0: [], 기둥 1: [1], 기둥 2: [3, 2]
    [SEG 4] 기둥 0에 있는 원판: 없음
[STEP 3] 정답 및 검증
  - 최종 답: (없음, 0, 0)
  - 2^공식 / 시뮬레이션과 [SEG] 추적 결과 교차 검증.",easy,disks_on_peg_after_k,3
hanoi_ko_easy_0003,"4개의 원판이 있는 하노이의 탑 퍼즐의 최적 해법에서,
원판 3은(는) 총 몇 번 이동합니까?","(3, 2, 2)","STEP0=메타 · STEP1=주어진 조건 · STEP2=풀이 과정 · STEP3=정답 및 검증
[STEP 0] 문제 메타
  - 최적 하노이의 탑 (2^n-1 이동) 및 표준 규칙
  - 최종 답은 [STEP 3]에서 확인
[STEP 1] 주어진 조건
  - n, 기둥 번호, k (문제에 명시된 대로)
[STEP 2] 풀이 과정
  · 요약: 2^(n-d) 이동 횟수 공식 적용 · n=4 · 총 이동=15 · 유형=disk_move_count · 3 SEGs
    [SEG 1] 최적 해법에서 원판 d는 2^(n-d)번 이동
    [SEG 2] 원판 3, n=4: 이동 횟수 = 2^(4-3) = 2
    [SEG 3] 카운팅으로 검증: 2
[STEP 3] 정답 및 검증
  - 최종 답: (3, 2, 2)
  - 2^공식 / 시뮬레이션과 [SEG] 추적 결과 교차 검증.",easy,disk_move_count,4
hanoi_ko_easy_0004,"4개의 원판이 있는 하노이의 탑 퍼즐의 최적 해법에서,
원판 4은(는) 총 몇 번 이동합니까?","(4, 1, 1)","STEP0=메타 · STEP1=주어진 조건 · STEP2=풀이 과정 · STEP3=정답 및 검증
[STEP 0] 문제 메타
  - 최적 하노이의 탑 (2^n-1 이동) 및 표준 규칙
  - 최종 답은 [STEP 3]에서 확인
[STEP 1] 주어진 조건
  - n, 기둥 번호, k (문제에 명시된 대로)
[STEP 2] 풀이 과정
  · 요약: 2^(n-d) 이동 횟수 공식 적용 · n=4 · 총 이동=15 · 유형=disk_move_count · 3 SEGs
    [SEG 1] 최적 해법에서 원판 d는 2^(n-d)번 이동
    [SEG 2] 원판 4, n=4: 이동 횟수 = 2^(4-4) = 1
    [SEG 3] 카운팅으로 검증: 1
[STEP 3] 정답 및 검증
  - 최종 답: (4, 1, 1)
  - 2^공식 / 시뮬레이션과 [SEG] 추적 결과 교차 검증.",easy,disk_move_count,4
hanoi_ko_easy_0005,"4개의 원판이 있는 하노이의 탑 퍼즐(기둥 1 → 기둥 0, 기둥 2 보조)의
최적 이동 수열에서, 정확히 8번의 이동이 수행된 후
기둥 2에 있는 원판들은 무엇입니까? 오름차순으로 나열하시오.","(1, 2, 3, 2, 2)","STEP0=메타 · STEP1=주어진 조건 · STEP2=풀이 과정 · STEP3=정답 및 검증
[STEP 0] 문제 메타
  - 최적 하노이의 탑 (2^n-1 이동) 및 표준 규칙
  - 최종 답은 [STEP 3]에서 확인
[STEP 1] 주어진 조건
  - n, 기둥 번호, k (문제에 명시된 대로)
[STEP 2] 풀이 과정
  · 요약: k번 이동 후 기둥 상태 시뮬레이션 · n=4 · 총 이동=15 · 유형=disks_on_peg_after_k · 4 SEGs
    [SEG 1] 4개 원판의 최적 수열 생성
    [SEG 2] 8번 이동 시뮬레이션
    [SEG 3] 8번 이동 후 상태: 기둥 0: [4], 기둥 1: [], 기둥 2: [3, 2, 1]
    [SEG 4] 기둥 2에 있는 원판: [1, 2, 3]
[STEP 3] 정답 및 검증
  - 최종 답: (1, 2, 3, 2, 2)
  - 2^공식 / 시뮬레이션과 [SEG] 추적 결과 교차 검증.",easy,disks_on_peg_after_k,4
hanoi_ko_easy_0006,"3개의 원판이 있는 하노이의 탑 퍼즐의 최적 해법에서,
원판 2은(는) 총 몇 번 이동합니까?","(2, 2, 2)","STEP0=메타 · STEP1=주어진 조건 · STEP2=풀이 과정 · STEP3=정답 및 검증
[STEP 0] 문제 메타
  - 최적 하노이의 탑 (2^n-1 이동) 및 표준 규칙
  - 최종 답은 [STEP 3]에서 확인
[STEP 1] 주어진 조건
  - n, 기둥 번호, k (문제에 명시된 대로)
[STEP 2] 풀이 과정
  · 요약: 2^(n-d) 이동 횟수 공식 적용 · n=3 · 총 이동=7 · 유형=disk_move_count · 3 SEGs
    [SEG 1] 최적 해법에서 원판 d는 2^(n-d)번 이동
    [SEG 2] 원판 2, n=3: 이동 횟수 = 2^(3-2) = 2
    [SEG 3] 카운팅으로 검증: 2
[STEP 3] 정답 및 검증
  - 최종 답: (2, 2, 2)
  - 2^공식 / 시뮬레이션과 [SEG] 추적 결과 교차 검증.",easy,disk_move_count,3
hanoi_ko_easy_0007,"3개의 원판이 있는 하노이의 탑 최적 해법에서, 모든 원판은 기둥 2에서 시작하여
기둥 0(으)로 이동해야 합니다 (기둥 1은(는) 보조).
정확히 7번의 이동 후, 원판 1은(는) 어느 기둥에 위치합니까?","(1, 0, 0)","STEP0=메타 · STEP1=주어진 조건 · STEP2=풀이 과정 · STEP3=정답 및 검증
[STEP 0] 문제 메타
  - 최적 하노이의 탑 (2^n-1 이동) 및 표준 규칙
  - 최종 답은 [STEP 3]에서 확인
[STEP 1] 주어진 조건
  - n, 기둥 번호, k (문제에 명시된 대로)
[STEP 2] 풀이 과정
  · 요약: k번 이동 후 특정 원판 위치 시뮬레이션 · n=3 · 총 이동=7 · 유형=where_is_disk_after_k · 4 SEGs
    [SEG 1] 3개 원판의 최적 수열 생성
    [SEG 2] 초기 상태에서 7번 이동 시뮬레이션
    [SEG 3] 7번 이동 후 상태: 기둥 0: [3, 2, 1], 기둥 1: [], 기둥 2: []
    [SEG 4] 원판 1은(는) 기둥 0에 위치
[STEP 3] 정답 및 검증
  - 최종 답: (1, 0, 0)
  - 2^공식 / 시뮬레이션과 [SEG] 추적 결과 교차 검증.",easy,where_is_disk_after_k,3
hanoi_ko_easy_0008,"4개의 원판이 있는 하노이의 탑 최적 해법에서, 모든 원판은 기둥 0에서 시작하여
기둥 1(으)로 이동해야 합니다 (기둥 2은(는) 보조).
정확히 10번의 이동 후, 원판 3은(는) 어느 기둥에 위치합니까?","(3, 2, 2)","STEP0=메타 · STEP1=주어진 조건 · STEP2=풀이 과정 · STEP3=정답 및 검증
[STEP 0] 문제 메타
  - 최적 하노이의 탑 (2^n-1 이동) 및 표준 규칙
  - 최종 답은 [STEP 3]에서 확인
[STEP 1] 주어진 조건
  - n, 기둥 번호, k (문제에 명시된 대로)
[STEP 2] 풀이 과정
  · 요약: k번 이동 후 특정 원판 위치 시뮬레이션 · n=4 · 총 이동=15 · 유형=where_is_disk_after_k · 4 SEGs
    [SEG 1] 4개 원판의 최적 수열 생성
    [SEG 2] 초기 상태에서 10번 이동 시뮬레이션
    [SEG 3] 10번 이동 후 상태: 기둥 0: [2], 기둥 1: [4, 1], 기둥 2: [3]
    [SEG 4] 원판 3은(는) 기둥 2에 위치
[STEP 3] 정답 및 검증
  - 최종 답: (3, 2, 2)
  - 2^공식 / 시뮬레이션과 [SEG] 추적 결과 교차 검증.",easy,where_is_disk_after_k,4
hanoi_ko_easy_0009,"3개의 원판이 있는 하노이의 탑 퍼즐의 최적 해법에서,
원판 1은(는) 총 몇 번 이동합니까?","(1, 4, 4)","STEP0=메타 · STEP1=주어진 조건 · STEP2=풀이 과정 · STEP3=정답 및 검증
[STEP 0] 문제 메타
  - 최적 하노이의 탑 (2^n-1 이동) 및 표준 규칙
  - 최종 답은 [STEP 3]에서 확인
[STEP 1] 주어진 조건
  - n, 기둥 번호, k (문제에 명시된 대로)
[STEP 2] 풀이 과정
  · 요약: 2^(n-d) 이동 횟수 공식 적용 · n=3 · 총 이동=7 · 유형=disk_move_count · 3 SEGs
    [SEG 1] 최적 해법에서 원판 d는 2^(n-d)번 이동
    [SEG 2] 원판 1, n=3: 이동 횟수 = 2^(3-1) = 4
    [SEG 3] 카운팅으로 검증: 4
[STEP 3] 정답 및 검증
  - 최종 답: (1, 4, 4)
  - 2^공식 / 시뮬레이션과 [SEG] 추적 결과 교차 검증.",easy,disk_move_count,3
