id,question,answer,solution,difficulty
cryptarithmetic_ko_easy_0000,"각 글자가 고유한 숫자(0-9)를 나타내는 복면산 퍼즐을 풀어주세요. 서로 다른 글자는 서로 다른 숫자에 대응해야 합니다. 첫 글자는 0이 될 수 없습니다. BACB이(가) 나타내는 숫자 값을 구하세요.

  EBD
+ CBE
------
= BACB",1031,"STEP0=문제 메타 · STEP1=주어진 조건 · STEP2=풀이 전개 · STEP3=답·검산
[STEP 0] 문제 메타
  - 난이도: easy
  - 퍼즐: EBD + CBE = BACB
  - 고유 글자 수: 5
  - 받아올림(carry) 수: 2
  - 최종 답은 [STEP 3]에서 확정
[STEP 1] 주어진 조건
  - 규칙: 서로 다른 글자 = 서로 다른 숫자(0–9).
  - 규칙: 각 단어의 **첫 글자는 0이 될 수 없음**.
  - 구하려는 값: BACB의 숫자값.
[STEP 2] 풀이 전개
  · 요약: 우→좌 자리별 합 · 글자→숫자 매핑(A=0, B=1, C=3, D=4, E=7) · 받아올림 총 2회 · SEG 4개
  · 매핑 검증: 714 + 317 = 1031
    [SEG 1] 자리 1(우→좌): D=4 + E=7 = 11 → 결과 자리 B=1 (받아올림 1)
    [SEG 2] 자리 2(우→좌): B=1 + B=1 + carry 1 = 3 → 결과 자리 C=3 (받아올림 0)
    [SEG 3] 자리 3(우→좌): E=7 + C=3 = 10 → 결과 자리 A=0 (받아올림 1)
    [SEG 4] 자리 4(우→좌):  + carry 1 = 1 → 결과 자리 B=1 (받아올림 0)
[STEP 3] 답·검산
  - 최종 답: BACB = 1031
  - 매핑: A=0, B=1, C=3, D=4, E=7
  - 각 자리 합과 받아올림이 일치하는지 [SEG] 전개로 재확인.
  - 모든 단어의 첫 글자 숫자가 0이 아닌지 확인.",easy
cryptarithmetic_ko_easy_0001,"각 글자가 고유한 숫자(0-9)를 나타내는 복면산 퍼즐을 풀어주세요. 서로 다른 글자는 서로 다른 숫자에 대응해야 합니다. 첫 글자는 0이 될 수 없습니다. LDLB이(가) 나타내는 숫자 값을 구하세요.

  INL
+ IBD
------
= LDLB",1314,"STEP0=문제 메타 · STEP1=주어진 조건 · STEP2=풀이 전개 · STEP3=답·검산
[STEP 0] 문제 메타
  - 난이도: easy
  - 퍼즐: INL + IBD = LDLB
  - 고유 글자 수: 5
  - 받아올림(carry) 수: 2
  - 최종 답은 [STEP 3]에서 확정
[STEP 1] 주어진 조건
  - 규칙: 서로 다른 글자 = 서로 다른 숫자(0–9).
  - 규칙: 각 단어의 **첫 글자는 0이 될 수 없음**.
  - 구하려는 값: LDLB의 숫자값.
[STEP 2] 풀이 전개
  · 요약: 우→좌 자리별 합 · 글자→숫자 매핑(B=4, D=3, I=6, L=1, N=7) · 받아올림 총 2회 · SEG 4개
  · 매핑 검증: 671 + 643 = 1314
    [SEG 1] 자리 1(우→좌): L=1 + D=3 = 4 → 결과 자리 B=4 (받아올림 0)
    [SEG 2] 자리 2(우→좌): N=7 + B=4 = 11 → 결과 자리 L=1 (받아올림 1)
    [SEG 3] 자리 3(우→좌): I=6 + I=6 + carry 1 = 13 → 결과 자리 D=3 (받아올림 1)
    [SEG 4] 자리 4(우→좌):  + carry 1 = 1 → 결과 자리 L=1 (받아올림 0)
[STEP 3] 답·검산
  - 최종 답: LDLB = 1314
  - 매핑: B=4, D=3, I=6, L=1, N=7
  - 각 자리 합과 받아올림이 일치하는지 [SEG] 전개로 재확인.
  - 모든 단어의 첫 글자 숫자가 0이 아닌지 확인.",easy
cryptarithmetic_ko_easy_0002,"각 글자가 고유한 숫자(0-9)를 나타내는 복면산 퍼즐을 풀어주세요. 서로 다른 글자는 서로 다른 숫자에 대응해야 합니다. 첫 글자는 0이 될 수 없습니다. BACE이(가) 나타내는 숫자 값을 구하세요.

  EFD
+ BDD
------
= BACE",1038,"STEP0=문제 메타 · STEP1=주어진 조건 · STEP2=풀이 전개 · STEP3=답·검산
[STEP 0] 문제 메타
  - 난이도: easy
  - 퍼즐: EFD + BDD = BACE
  - 고유 글자 수: 6
  - 받아올림(carry) 수: 2
  - 최종 답은 [STEP 3]에서 확정
[STEP 1] 주어진 조건
  - 규칙: 서로 다른 글자 = 서로 다른 숫자(0–9).
  - 규칙: 각 단어의 **첫 글자는 0이 될 수 없음**.
  - 구하려는 값: BACE의 숫자값.
[STEP 2] 풀이 전개
  · 요약: 우→좌 자리별 합 · 글자→숫자 매핑(A=0, B=1, C=3, D=4, E=8, F=9) · 받아올림 총 2회 · SEG 4개
  · 매핑 검증: 894 + 144 = 1038
    [SEG 1] 자리 1(우→좌): D=4 + D=4 = 8 → 결과 자리 E=8 (받아올림 0)
    [SEG 2] 자리 2(우→좌): F=9 + D=4 = 13 → 결과 자리 C=3 (받아올림 1)
    [SEG 3] 자리 3(우→좌): E=8 + B=1 + carry 1 = 10 → 결과 자리 A=0 (받아올림 1)
    [SEG 4] 자리 4(우→좌):  + carry 1 = 1 → 결과 자리 B=1 (받아올림 0)
[STEP 3] 답·검산
  - 최종 답: BACE = 1038
  - 매핑: A=0, B=1, C=3, D=4, E=8, F=9
  - 각 자리 합과 받아올림이 일치하는지 [SEG] 전개로 재확인.
  - 모든 단어의 첫 글자 숫자가 0이 아닌지 확인.",easy
cryptarithmetic_ko_easy_0003,"각 글자가 고유한 숫자(0-9)를 나타내는 복면산 퍼즐을 풀어주세요. 서로 다른 글자는 서로 다른 숫자에 대응해야 합니다. 첫 글자는 0이 될 수 없습니다. YZZV이(가) 나타내는 숫자 값을 구하세요.

  VWW
+ YXY
------
= YZZV",1008,"STEP0=문제 메타 · STEP1=주어진 조건 · STEP2=풀이 전개 · STEP3=답·검산
[STEP 0] 문제 메타
  - 난이도: easy
  - 퍼즐: VWW + YXY = YZZV
  - 고유 글자 수: 5
  - 받아올림(carry) 수: 2
  - 최종 답은 [STEP 3]에서 확정
[STEP 1] 주어진 조건
  - 규칙: 서로 다른 글자 = 서로 다른 숫자(0–9).
  - 규칙: 각 단어의 **첫 글자는 0이 될 수 없음**.
  - 구하려는 값: YZZV의 숫자값.
[STEP 2] 풀이 전개
  · 요약: 우→좌 자리별 합 · 글자→숫자 매핑(V=8, W=7, X=3, Y=1, Z=0) · 받아올림 총 2회 · SEG 4개
  · 매핑 검증: 877 + 131 = 1008
    [SEG 1] 자리 1(우→좌): W=7 + Y=1 = 8 → 결과 자리 V=8 (받아올림 0)
    [SEG 2] 자리 2(우→좌): W=7 + X=3 = 10 → 결과 자리 Z=0 (받아올림 1)
    [SEG 3] 자리 3(우→좌): V=8 + Y=1 + carry 1 = 10 → 결과 자리 Z=0 (받아올림 1)
    [SEG 4] 자리 4(우→좌):  + carry 1 = 1 → 결과 자리 Y=1 (받아올림 0)
[STEP 3] 답·검산
  - 최종 답: YZZV = 1008
  - 매핑: V=8, W=7, X=3, Y=1, Z=0
  - 각 자리 합과 받아올림이 일치하는지 [SEG] 전개로 재확인.
  - 모든 단어의 첫 글자 숫자가 0이 아닌지 확인.",easy
cryptarithmetic_ko_easy_0004,"각 글자가 고유한 숫자(0-9)를 나타내는 복면산 퍼즐을 풀어주세요. 서로 다른 글자는 서로 다른 숫자에 대응해야 합니다. 첫 글자는 0이 될 수 없습니다. TZGT이(가) 나타내는 숫자 값을 구하세요.

  LLZ
+ LEL
------
= TZGT",1481,"STEP0=문제 메타 · STEP1=주어진 조건 · STEP2=풀이 전개 · STEP3=답·검산
[STEP 0] 문제 메타
  - 난이도: easy
  - 퍼즐: LLZ + LEL = TZGT
  - 고유 글자 수: 5
  - 받아올림(carry) 수: 2
  - 최종 답은 [STEP 3]에서 확정
[STEP 1] 주어진 조건
  - 규칙: 서로 다른 글자 = 서로 다른 숫자(0–9).
  - 규칙: 각 단어의 **첫 글자는 0이 될 수 없음**.
  - 구하려는 값: TZGT의 숫자값.
[STEP 2] 풀이 전개
  · 요약: 우→좌 자리별 합 · 글자→숫자 매핑(E=0, G=8, L=7, T=1, Z=4) · 받아올림 총 2회 · SEG 4개
  · 매핑 검증: 774 + 707 = 1481
    [SEG 1] 자리 1(우→좌): Z=4 + L=7 = 11 → 결과 자리 T=1 (받아올림 1)
    [SEG 2] 자리 2(우→좌): L=7 + E=0 + carry 1 = 8 → 결과 자리 G=8 (받아올림 0)
    [SEG 3] 자리 3(우→좌): L=7 + L=7 = 14 → 결과 자리 Z=4 (받아올림 1)
    [SEG 4] 자리 4(우→좌):  + carry 1 = 1 → 결과 자리 T=1 (받아올림 0)
[STEP 3] 답·검산
  - 최종 답: TZGT = 1481
  - 매핑: E=0, G=8, L=7, T=1, Z=4
  - 각 자리 합과 받아올림이 일치하는지 [SEG] 전개로 재확인.
  - 모든 단어의 첫 글자 숫자가 0이 아닌지 확인.",easy
cryptarithmetic_ko_easy_0005,"각 글자가 고유한 숫자(0-9)를 나타내는 복면산 퍼즐을 풀어주세요. 서로 다른 글자는 서로 다른 숫자에 대응해야 합니다. 첫 글자는 0이 될 수 없습니다. BPGF이(가) 나타내는 숫자 값을 구하세요.

  BFV
+ GBG
------
= BPGF",1097,"STEP0=문제 메타 · STEP1=주어진 조건 · STEP2=풀이 전개 · STEP3=답·검산
[STEP 0] 문제 메타
  - 난이도: easy
  - 퍼즐: BFV + GBG = BPGF
  - 고유 글자 수: 5
  - 받아올림(carry) 수: 2
  - 최종 답은 [STEP 3]에서 확정
[STEP 1] 주어진 조건
  - 규칙: 서로 다른 글자 = 서로 다른 숫자(0–9).
  - 규칙: 각 단어의 **첫 글자는 0이 될 수 없음**.
  - 구하려는 값: BPGF의 숫자값.
[STEP 2] 풀이 전개
  · 요약: 우→좌 자리별 합 · 글자→숫자 매핑(B=1, F=7, G=9, P=0, V=8) · 받아올림 총 2회 · SEG 4개
  · 매핑 검증: 178 + 919 = 1097
    [SEG 1] 자리 1(우→좌): V=8 + G=9 = 17 → 결과 자리 F=7 (받아올림 1)
    [SEG 2] 자리 2(우→좌): F=7 + B=1 + carry 1 = 9 → 결과 자리 G=9 (받아올림 0)
    [SEG 3] 자리 3(우→좌): B=1 + G=9 = 10 → 결과 자리 P=0 (받아올림 1)
    [SEG 4] 자리 4(우→좌):  + carry 1 = 1 → 결과 자리 B=1 (받아올림 0)
[STEP 3] 답·검산
  - 최종 답: BPGF = 1097
  - 매핑: B=1, F=7, G=9, P=0, V=8
  - 각 자리 합과 받아올림이 일치하는지 [SEG] 전개로 재확인.
  - 모든 단어의 첫 글자 숫자가 0이 아닌지 확인.",easy
cryptarithmetic_ko_easy_0006,"각 글자가 고유한 숫자(0-9)를 나타내는 복면산 퍼즐을 풀어주세요. 서로 다른 글자는 서로 다른 숫자에 대응해야 합니다. 첫 글자는 0이 될 수 없습니다. BACD이(가) 나타내는 숫자 값을 구하세요.

  EEB
+ BEC
------
= BACD",1067,"STEP0=문제 메타 · STEP1=주어진 조건 · STEP2=풀이 전개 · STEP3=답·검산
[STEP 0] 문제 메타
  - 난이도: easy
  - 퍼즐: EEB + BEC = BACD
  - 고유 글자 수: 5
  - 받아올림(carry) 수: 2
  - 최종 답은 [STEP 3]에서 확정
[STEP 1] 주어진 조건
  - 규칙: 서로 다른 글자 = 서로 다른 숫자(0–9).
  - 규칙: 각 단어의 **첫 글자는 0이 될 수 없음**.
  - 구하려는 값: BACD의 숫자값.
[STEP 2] 풀이 전개
  · 요약: 우→좌 자리별 합 · 글자→숫자 매핑(A=0, B=1, C=6, D=7, E=8) · 받아올림 총 2회 · SEG 4개
  · 매핑 검증: 881 + 186 = 1067
    [SEG 1] 자리 1(우→좌): B=1 + C=6 = 7 → 결과 자리 D=7 (받아올림 0)
    [SEG 2] 자리 2(우→좌): E=8 + E=8 = 16 → 결과 자리 C=6 (받아올림 1)
    [SEG 3] 자리 3(우→좌): E=8 + B=1 + carry 1 = 10 → 결과 자리 A=0 (받아올림 1)
    [SEG 4] 자리 4(우→좌):  + carry 1 = 1 → 결과 자리 B=1 (받아올림 0)
[STEP 3] 답·검산
  - 최종 답: BACD = 1067
  - 매핑: A=0, B=1, C=6, D=7, E=8
  - 각 자리 합과 받아올림이 일치하는지 [SEG] 전개로 재확인.
  - 모든 단어의 첫 글자 숫자가 0이 아닌지 확인.",easy
cryptarithmetic_ko_easy_0007,"각 글자가 고유한 숫자(0-9)를 나타내는 복면산 퍼즐을 풀어주세요. 서로 다른 글자는 서로 다른 숫자에 대응해야 합니다. 첫 글자는 0이 될 수 없습니다. ACED이(가) 나타내는 숫자 값을 구하세요.

  EDB
+ DAC
------
= ACED",1587,"STEP0=문제 메타 · STEP1=주어진 조건 · STEP2=풀이 전개 · STEP3=답·검산
[STEP 0] 문제 메타
  - 난이도: easy
  - 퍼즐: EDB + DAC = ACED
  - 고유 글자 수: 5
  - 받아올림(carry) 수: 1
  - 최종 답은 [STEP 3]에서 확정
[STEP 1] 주어진 조건
  - 규칙: 서로 다른 글자 = 서로 다른 숫자(0–9).
  - 규칙: 각 단어의 **첫 글자는 0이 될 수 없음**.
  - 구하려는 값: ACED의 숫자값.
[STEP 2] 풀이 전개
  · 요약: 우→좌 자리별 합 · 글자→숫자 매핑(A=1, B=2, C=5, D=7, E=8) · 받아올림 총 1회 · SEG 4개
  · 매핑 검증: 872 + 715 = 1587
    [SEG 1] 자리 1(우→좌): B=2 + C=5 = 7 → 결과 자리 D=7 (받아올림 0)
    [SEG 2] 자리 2(우→좌): D=7 + A=1 = 8 → 결과 자리 E=8 (받아올림 0)
    [SEG 3] 자리 3(우→좌): E=8 + D=7 = 15 → 결과 자리 C=5 (받아올림 1)
    [SEG 4] 자리 4(우→좌):  + carry 1 = 1 → 결과 자리 A=1 (받아올림 0)
[STEP 3] 답·검산
  - 최종 답: ACED = 1587
  - 매핑: A=1, B=2, C=5, D=7, E=8
  - 각 자리 합과 받아올림이 일치하는지 [SEG] 전개로 재확인.
  - 모든 단어의 첫 글자 숫자가 0이 아닌지 확인.",easy
cryptarithmetic_ko_easy_0008,"각 글자가 고유한 숫자(0-9)를 나타내는 복면산 퍼즐을 풀어주세요. 서로 다른 글자는 서로 다른 숫자에 대응해야 합니다. 첫 글자는 0이 될 수 없습니다. BACE이(가) 나타내는 숫자 값을 구하세요.

  EBC
+ BBD
------
= BACE",1029,"STEP0=문제 메타 · STEP1=주어진 조건 · STEP2=풀이 전개 · STEP3=답·검산
[STEP 0] 문제 메타
  - 난이도: easy
  - 퍼즐: EBC + BBD = BACE
  - 고유 글자 수: 5
  - 받아올림(carry) 수: 1
  - 최종 답은 [STEP 3]에서 확정
[STEP 1] 주어진 조건
  - 규칙: 서로 다른 글자 = 서로 다른 숫자(0–9).
  - 규칙: 각 단어의 **첫 글자는 0이 될 수 없음**.
  - 구하려는 값: BACE의 숫자값.
[STEP 2] 풀이 전개
  · 요약: 우→좌 자리별 합 · 글자→숫자 매핑(A=0, B=1, C=2, D=7, E=9) · 받아올림 총 1회 · SEG 4개
  · 매핑 검증: 912 + 117 = 1029
    [SEG 1] 자리 1(우→좌): C=2 + D=7 = 9 → 결과 자리 E=9 (받아올림 0)
    [SEG 2] 자리 2(우→좌): B=1 + B=1 = 2 → 결과 자리 C=2 (받아올림 0)
    [SEG 3] 자리 3(우→좌): E=9 + B=1 = 10 → 결과 자리 A=0 (받아올림 1)
    [SEG 4] 자리 4(우→좌):  + carry 1 = 1 → 결과 자리 B=1 (받아올림 0)
[STEP 3] 답·검산
  - 최종 답: BACE = 1029
  - 매핑: A=0, B=1, C=2, D=7, E=9
  - 각 자리 합과 받아올림이 일치하는지 [SEG] 전개로 재확인.
  - 모든 단어의 첫 글자 숫자가 0이 아닌지 확인.",easy
cryptarithmetic_ko_easy_0009,"각 글자가 고유한 숫자(0-9)를 나타내는 복면산 퍼즐을 풀어주세요. 서로 다른 글자는 서로 다른 숫자에 대응해야 합니다. 첫 글자는 0이 될 수 없습니다. BACA이(가) 나타내는 숫자 값을 구하세요.

  DBE
+ CBB
------
= BACA",1030,"STEP0=문제 메타 · STEP1=주어진 조건 · STEP2=풀이 전개 · STEP3=답·검산
[STEP 0] 문제 메타
  - 난이도: easy
  - 퍼즐: DBE + CBB = BACA
  - 고유 글자 수: 5
  - 받아올림(carry) 수: 2
  - 최종 답은 [STEP 3]에서 확정
[STEP 1] 주어진 조건
  - 규칙: 서로 다른 글자 = 서로 다른 숫자(0–9).
  - 규칙: 각 단어의 **첫 글자는 0이 될 수 없음**.
  - 구하려는 값: BACA의 숫자값.
[STEP 2] 풀이 전개
  · 요약: 우→좌 자리별 합 · 글자→숫자 매핑(A=0, B=1, C=3, D=7, E=9) · 받아올림 총 2회 · SEG 4개
  · 매핑 검증: 719 + 311 = 1030
    [SEG 1] 자리 1(우→좌): E=9 + B=1 = 10 → 결과 자리 A=0 (받아올림 1)
    [SEG 2] 자리 2(우→좌): B=1 + B=1 + carry 1 = 3 → 결과 자리 C=3 (받아올림 0)
    [SEG 3] 자리 3(우→좌): D=7 + C=3 = 10 → 결과 자리 A=0 (받아올림 1)
    [SEG 4] 자리 4(우→좌):  + carry 1 = 1 → 결과 자리 B=1 (받아올림 0)
[STEP 3] 답·검산
  - 최종 답: BACA = 1030
  - 매핑: A=0, B=1, C=3, D=7, E=9
  - 각 자리 합과 받아올림이 일치하는지 [SEG] 전개로 재확인.
  - 모든 단어의 첫 글자 숫자가 0이 아닌지 확인.",easy
