id,question,answer,solution,difficulty
number_baseball_ko_easy_0000,"다음 숫자 야구 퍼즐을 풀어보세요.

규칙:
- 비밀 숫자는 3자리이며, 각 자릿수는 서로 다릅니다 (0-9)
- ""스트라이크(S)""는 숫자가 맞고 위치도 맞음을 의미합니다
- ""볼(B)""은 숫자는 맞지만 위치가 틀림을 의미합니다
- 모든 힌트를 만족하는 비밀 숫자를 찾으세요

힌트:
  1. 추측: 209 -> 1 스트라이크(S), 2 볼(B)
  2. 추측: 692 -> 0 스트라이크(S), 2 볼(B)
  3. 추측: 920 -> 1 스트라이크(S), 2 볼(B)

단계별로 생각하며 유일한 3자리 비밀 숫자를 찾으세요.

다음 형식으로 답을 제시하세요:
Answer: [3자리 비밀 숫자]",029,"STEP0=문제 메타 · STEP1=주어진 조건 · STEP2=풀이 전개 · STEP3=답·검산
[STEP 0] 문제 메타
  - 난이도: easy
  - 자릿수: 3 (서로 다른 숫자)
  - 힌트 수: 3 · 초기 후보: 720
  - 최종 답은 [STEP 3]에서 확정
[STEP 1] 주어진 조건
  - 규칙: 각 자리 숫자는 서로 다름(0–9).
  - S(스트라이크) = 숫자·위치 모두 일치, B(볼) = 숫자만 일치.
  1. 추측 209 → 1S 2B
  2. 추측 692 → 0S 2B
  3. 추측 920 → 1S 2B
[STEP 2] 풀이 전개
  · 요약: 각 힌트(S/B)로 후보 공간 축소 · 초기 720 → 최종 1 · SEG 3개
    [SEG 1] 힌트 1 반영: 209 → 1S 2B · 후보 720→3 · 정보량 7.91 bits
    [SEG 2] 힌트 2 반영: 692 → 0S 2B · 후보 3→1 · 정보량 1.58 bits
    [SEG 3] 힌트 3 반영: 920 → 1S 2B · 후보 1→1 · 정보량 0.00 bits
[STEP 3] 답·검산
  - 최종 답: 029
  - 각 힌트에 대해 정답과 S/B를 재계산하여 모두 일치하는지 확인.",easy
number_baseball_ko_easy_0001,"다음 숫자 야구 퍼즐을 풀어보세요.

규칙:
- 비밀 숫자는 3자리이며, 각 자릿수는 서로 다릅니다 (0-9)
- ""스트라이크(S)""는 숫자가 맞고 위치도 맞음을 의미합니다
- ""볼(B)""은 숫자는 맞지만 위치가 틀림을 의미합니다
- 모든 힌트를 만족하는 비밀 숫자를 찾으세요

힌트:
  1. 추측: 514 -> 0 스트라이크(S), 3 볼(B)
  2. 추측: 148 -> 0 스트라이크(S), 2 볼(B)
  3. 추측: 541 -> 1 스트라이크(S), 2 볼(B)

단계별로 생각하며 유일한 3자리 비밀 숫자를 찾으세요.

다음 형식으로 답을 제시하세요:
Answer: [3자리 비밀 숫자]",451,"STEP0=문제 메타 · STEP1=주어진 조건 · STEP2=풀이 전개 · STEP3=답·검산
[STEP 0] 문제 메타
  - 난이도: easy
  - 자릿수: 3 (서로 다른 숫자)
  - 힌트 수: 3 · 초기 후보: 720
  - 최종 답은 [STEP 3]에서 확정
[STEP 1] 주어진 조건
  - 규칙: 각 자리 숫자는 서로 다름(0–9).
  - S(스트라이크) = 숫자·위치 모두 일치, B(볼) = 숫자만 일치.
  1. 추측 514 → 0S 3B
  2. 추측 148 → 0S 2B
  3. 추측 541 → 1S 2B
[STEP 2] 풀이 전개
  · 요약: 각 힌트(S/B)로 후보 공간 축소 · 초기 720 → 최종 1 · SEG 3개
    [SEG 1] 힌트 1 반영: 514 → 0S 3B · 후보 720→2 · 정보량 8.49 bits
    [SEG 2] 힌트 2 반영: 148 → 0S 2B · 후보 2→1 · 정보량 1.00 bits
    [SEG 3] 힌트 3 반영: 541 → 1S 2B · 후보 1→1 · 정보량 0.00 bits
[STEP 3] 답·검산
  - 최종 답: 451
  - 각 힌트에 대해 정답과 S/B를 재계산하여 모두 일치하는지 확인.",easy
number_baseball_ko_easy_0002,"다음 숫자 야구 퍼즐을 풀어보세요.

규칙:
- 비밀 숫자는 3자리이며, 각 자릿수는 서로 다릅니다 (0-9)
- ""스트라이크(S)""는 숫자가 맞고 위치도 맞음을 의미합니다
- ""볼(B)""은 숫자는 맞지만 위치가 틀림을 의미합니다
- 모든 힌트를 만족하는 비밀 숫자를 찾으세요

힌트:
  1. 추측: 173 -> 0 스트라이크(S), 3 볼(B)
  2. 추측: 138 -> 0 스트라이크(S), 2 볼(B)
  3. 추측: 031 -> 0 스트라이크(S), 2 볼(B)

단계별로 생각하며 유일한 3자리 비밀 숫자를 찾으세요.

다음 형식으로 답을 제시하세요:
Answer: [3자리 비밀 숫자]",317,"STEP0=문제 메타 · STEP1=주어진 조건 · STEP2=풀이 전개 · STEP3=답·검산
[STEP 0] 문제 메타
  - 난이도: easy
  - 자릿수: 3 (서로 다른 숫자)
  - 힌트 수: 3 · 초기 후보: 720
  - 최종 답은 [STEP 3]에서 확정
[STEP 1] 주어진 조건
  - 규칙: 각 자리 숫자는 서로 다름(0–9).
  - S(스트라이크) = 숫자·위치 모두 일치, B(볼) = 숫자만 일치.
  1. 추측 173 → 0S 3B
  2. 추측 138 → 0S 2B
  3. 추측 031 → 0S 2B
[STEP 2] 풀이 전개
  · 요약: 각 힌트(S/B)로 후보 공간 축소 · 초기 720 → 최종 1 · SEG 3개
    [SEG 1] 힌트 1 반영: 173 → 0S 3B · 후보 720→2 · 정보량 8.49 bits
    [SEG 2] 힌트 2 반영: 138 → 0S 2B · 후보 2→1 · 정보량 1.00 bits
    [SEG 3] 힌트 3 반영: 031 → 0S 2B · 후보 1→1 · 정보량 0.00 bits
[STEP 3] 답·검산
  - 최종 답: 317
  - 각 힌트에 대해 정답과 S/B를 재계산하여 모두 일치하는지 확인.",easy
number_baseball_ko_easy_0003,"다음 숫자 야구 퍼즐을 풀어보세요.

규칙:
- 비밀 숫자는 3자리이며, 각 자릿수는 서로 다릅니다 (0-9)
- ""스트라이크(S)""는 숫자가 맞고 위치도 맞음을 의미합니다
- ""볼(B)""은 숫자는 맞지만 위치가 틀림을 의미합니다
- 모든 힌트를 만족하는 비밀 숫자를 찾으세요

힌트:
  1. 추측: 382 -> 1 스트라이크(S), 2 볼(B)
  2. 추측: 582 -> 0 스트라이크(S), 2 볼(B)
  3. 추측: 238 -> 1 스트라이크(S), 2 볼(B)

단계별로 생각하며 유일한 3자리 비밀 숫자를 찾으세요.

다음 형식으로 답을 제시하세요:
Answer: [3자리 비밀 숫자]",328,"STEP0=문제 메타 · STEP1=주어진 조건 · STEP2=풀이 전개 · STEP3=답·검산
[STEP 0] 문제 메타
  - 난이도: easy
  - 자릿수: 3 (서로 다른 숫자)
  - 힌트 수: 3 · 초기 후보: 720
  - 최종 답은 [STEP 3]에서 확정
[STEP 1] 주어진 조건
  - 규칙: 각 자리 숫자는 서로 다름(0–9).
  - S(스트라이크) = 숫자·위치 모두 일치, B(볼) = 숫자만 일치.
  1. 추측 382 → 1S 2B
  2. 추측 582 → 0S 2B
  3. 추측 238 → 1S 2B
[STEP 2] 풀이 전개
  · 요약: 각 힌트(S/B)로 후보 공간 축소 · 초기 720 → 최종 1 · SEG 3개
    [SEG 1] 힌트 1 반영: 382 → 1S 2B · 후보 720→3 · 정보량 7.91 bits
    [SEG 2] 힌트 2 반영: 582 → 0S 2B · 후보 3→1 · 정보량 1.58 bits
    [SEG 3] 힌트 3 반영: 238 → 1S 2B · 후보 1→1 · 정보량 0.00 bits
[STEP 3] 답·검산
  - 최종 답: 328
  - 각 힌트에 대해 정답과 S/B를 재계산하여 모두 일치하는지 확인.",easy
number_baseball_ko_easy_0004,"다음 숫자 야구 퍼즐을 풀어보세요.

규칙:
- 비밀 숫자는 3자리이며, 각 자릿수는 서로 다릅니다 (0-9)
- ""스트라이크(S)""는 숫자가 맞고 위치도 맞음을 의미합니다
- ""볼(B)""은 숫자는 맞지만 위치가 틀림을 의미합니다
- 모든 힌트를 만족하는 비밀 숫자를 찾으세요

힌트:
  1. 추측: 328 -> 0 스트라이크(S), 3 볼(B)
  2. 추측: 281 -> 0 스트라이크(S), 2 볼(B)
  3. 추측: 382 -> 1 스트라이크(S), 2 볼(B)

단계별로 생각하며 유일한 3자리 비밀 숫자를 찾으세요.

다음 형식으로 답을 제시하세요:
Answer: [3자리 비밀 숫자]",832,"STEP0=문제 메타 · STEP1=주어진 조건 · STEP2=풀이 전개 · STEP3=답·검산
[STEP 0] 문제 메타
  - 난이도: easy
  - 자릿수: 3 (서로 다른 숫자)
  - 힌트 수: 3 · 초기 후보: 720
  - 최종 답은 [STEP 3]에서 확정
[STEP 1] 주어진 조건
  - 규칙: 각 자리 숫자는 서로 다름(0–9).
  - S(스트라이크) = 숫자·위치 모두 일치, B(볼) = 숫자만 일치.
  1. 추측 328 → 0S 3B
  2. 추측 281 → 0S 2B
  3. 추측 382 → 1S 2B
[STEP 2] 풀이 전개
  · 요약: 각 힌트(S/B)로 후보 공간 축소 · 초기 720 → 최종 1 · SEG 3개
    [SEG 1] 힌트 1 반영: 328 → 0S 3B · 후보 720→2 · 정보량 8.49 bits
    [SEG 2] 힌트 2 반영: 281 → 0S 2B · 후보 2→1 · 정보량 1.00 bits
    [SEG 3] 힌트 3 반영: 382 → 1S 2B · 후보 1→1 · 정보량 0.00 bits
[STEP 3] 답·검산
  - 최종 답: 832
  - 각 힌트에 대해 정답과 S/B를 재계산하여 모두 일치하는지 확인.",easy
number_baseball_ko_easy_0005,"다음 숫자 야구 퍼즐을 풀어보세요.

규칙:
- 비밀 숫자는 3자리이며, 각 자릿수는 서로 다릅니다 (0-9)
- ""스트라이크(S)""는 숫자가 맞고 위치도 맞음을 의미합니다
- ""볼(B)""은 숫자는 맞지만 위치가 틀림을 의미합니다
- 모든 힌트를 만족하는 비밀 숫자를 찾으세요

힌트:
  1. 추측: 078 -> 0 스트라이크(S), 3 볼(B)
  2. 추측: 720 -> 0 스트라이크(S), 2 볼(B)
  3. 추측: 570 -> 0 스트라이크(S), 2 볼(B)

단계별로 생각하며 유일한 3자리 비밀 숫자를 찾으세요.

다음 형식으로 답을 제시하세요:
Answer: [3자리 비밀 숫자]",807,"STEP0=문제 메타 · STEP1=주어진 조건 · STEP2=풀이 전개 · STEP3=답·검산
[STEP 0] 문제 메타
  - 난이도: easy
  - 자릿수: 3 (서로 다른 숫자)
  - 힌트 수: 3 · 초기 후보: 720
  - 최종 답은 [STEP 3]에서 확정
[STEP 1] 주어진 조건
  - 규칙: 각 자리 숫자는 서로 다름(0–9).
  - S(스트라이크) = 숫자·위치 모두 일치, B(볼) = 숫자만 일치.
  1. 추측 078 → 0S 3B
  2. 추측 720 → 0S 2B
  3. 추측 570 → 0S 2B
[STEP 2] 풀이 전개
  · 요약: 각 힌트(S/B)로 후보 공간 축소 · 초기 720 → 최종 1 · SEG 3개
    [SEG 1] 힌트 1 반영: 078 → 0S 3B · 후보 720→2 · 정보량 8.49 bits
    [SEG 2] 힌트 2 반영: 720 → 0S 2B · 후보 2→1 · 정보량 1.00 bits
    [SEG 3] 힌트 3 반영: 570 → 0S 2B · 후보 1→1 · 정보량 0.00 bits
[STEP 3] 답·검산
  - 최종 답: 807
  - 각 힌트에 대해 정답과 S/B를 재계산하여 모두 일치하는지 확인.",easy
number_baseball_ko_easy_0006,"다음 숫자 야구 퍼즐을 풀어보세요.

규칙:
- 비밀 숫자는 3자리이며, 각 자릿수는 서로 다릅니다 (0-9)
- ""스트라이크(S)""는 숫자가 맞고 위치도 맞음을 의미합니다
- ""볼(B)""은 숫자는 맞지만 위치가 틀림을 의미합니다
- 모든 힌트를 만족하는 비밀 숫자를 찾으세요

힌트:
  1. 추측: 495 -> 0 스트라이크(S), 3 볼(B)
  2. 추측: 394 -> 0 스트라이크(S), 2 볼(B)
  3. 추측: 459 -> 1 스트라이크(S), 2 볼(B)

단계별로 생각하며 유일한 3자리 비밀 숫자를 찾으세요.

다음 형식으로 답을 제시하세요:
Answer: [3자리 비밀 숫자]",549,"STEP0=문제 메타 · STEP1=주어진 조건 · STEP2=풀이 전개 · STEP3=답·검산
[STEP 0] 문제 메타
  - 난이도: easy
  - 자릿수: 3 (서로 다른 숫자)
  - 힌트 수: 3 · 초기 후보: 720
  - 최종 답은 [STEP 3]에서 확정
[STEP 1] 주어진 조건
  - 규칙: 각 자리 숫자는 서로 다름(0–9).
  - S(스트라이크) = 숫자·위치 모두 일치, B(볼) = 숫자만 일치.
  1. 추측 495 → 0S 3B
  2. 추측 394 → 0S 2B
  3. 추측 459 → 1S 2B
[STEP 2] 풀이 전개
  · 요약: 각 힌트(S/B)로 후보 공간 축소 · 초기 720 → 최종 1 · SEG 3개
    [SEG 1] 힌트 1 반영: 495 → 0S 3B · 후보 720→2 · 정보량 8.49 bits
    [SEG 2] 힌트 2 반영: 394 → 0S 2B · 후보 2→1 · 정보량 1.00 bits
    [SEG 3] 힌트 3 반영: 459 → 1S 2B · 후보 1→1 · 정보량 0.00 bits
[STEP 3] 답·검산
  - 최종 답: 549
  - 각 힌트에 대해 정답과 S/B를 재계산하여 모두 일치하는지 확인.",easy
number_baseball_ko_easy_0007,"다음 숫자 야구 퍼즐을 풀어보세요.

규칙:
- 비밀 숫자는 3자리이며, 각 자릿수는 서로 다릅니다 (0-9)
- ""스트라이크(S)""는 숫자가 맞고 위치도 맞음을 의미합니다
- ""볼(B)""은 숫자는 맞지만 위치가 틀림을 의미합니다
- 모든 힌트를 만족하는 비밀 숫자를 찾으세요

힌트:
  1. 추측: 781 -> 0 스트라이크(S), 3 볼(B)
  2. 추측: 710 -> 0 스트라이크(S), 2 볼(B)
  3. 추측: 871 -> 1 스트라이크(S), 2 볼(B)

단계별로 생각하며 유일한 3자리 비밀 숫자를 찾으세요.

다음 형식으로 답을 제시하세요:
Answer: [3자리 비밀 숫자]",178,"STEP0=문제 메타 · STEP1=주어진 조건 · STEP2=풀이 전개 · STEP3=답·검산
[STEP 0] 문제 메타
  - 난이도: easy
  - 자릿수: 3 (서로 다른 숫자)
  - 힌트 수: 3 · 초기 후보: 720
  - 최종 답은 [STEP 3]에서 확정
[STEP 1] 주어진 조건
  - 규칙: 각 자리 숫자는 서로 다름(0–9).
  - S(스트라이크) = 숫자·위치 모두 일치, B(볼) = 숫자만 일치.
  1. 추측 781 → 0S 3B
  2. 추측 710 → 0S 2B
  3. 추측 871 → 1S 2B
[STEP 2] 풀이 전개
  · 요약: 각 힌트(S/B)로 후보 공간 축소 · 초기 720 → 최종 1 · SEG 3개
    [SEG 1] 힌트 1 반영: 781 → 0S 3B · 후보 720→2 · 정보량 8.49 bits
    [SEG 2] 힌트 2 반영: 710 → 0S 2B · 후보 2→1 · 정보량 1.00 bits
    [SEG 3] 힌트 3 반영: 871 → 1S 2B · 후보 1→1 · 정보량 0.00 bits
[STEP 3] 답·검산
  - 최종 답: 178
  - 각 힌트에 대해 정답과 S/B를 재계산하여 모두 일치하는지 확인.",easy
number_baseball_ko_easy_0008,"다음 숫자 야구 퍼즐을 풀어보세요.

규칙:
- 비밀 숫자는 3자리이며, 각 자릿수는 서로 다릅니다 (0-9)
- ""스트라이크(S)""는 숫자가 맞고 위치도 맞음을 의미합니다
- ""볼(B)""은 숫자는 맞지만 위치가 틀림을 의미합니다
- 모든 힌트를 만족하는 비밀 숫자를 찾으세요

힌트:
  1. 추측: 853 -> 1 스트라이크(S), 2 볼(B)
  2. 추측: 785 -> 0 스트라이크(S), 2 볼(B)
  3. 추측: 832 -> 0 스트라이크(S), 2 볼(B)

단계별로 생각하며 유일한 3자리 비밀 숫자를 찾으세요.

다음 형식으로 답을 제시하세요:
Answer: [3자리 비밀 숫자]",358,"STEP0=문제 메타 · STEP1=주어진 조건 · STEP2=풀이 전개 · STEP3=답·검산
[STEP 0] 문제 메타
  - 난이도: easy
  - 자릿수: 3 (서로 다른 숫자)
  - 힌트 수: 3 · 초기 후보: 720
  - 최종 답은 [STEP 3]에서 확정
[STEP 1] 주어진 조건
  - 규칙: 각 자리 숫자는 서로 다름(0–9).
  - S(스트라이크) = 숫자·위치 모두 일치, B(볼) = 숫자만 일치.
  1. 추측 853 → 1S 2B
  2. 추측 785 → 0S 2B
  3. 추측 832 → 0S 2B
[STEP 2] 풀이 전개
  · 요약: 각 힌트(S/B)로 후보 공간 축소 · 초기 720 → 최종 1 · SEG 3개
    [SEG 1] 힌트 1 반영: 853 → 1S 2B · 후보 720→3 · 정보량 7.91 bits
    [SEG 2] 힌트 2 반영: 785 → 0S 2B · 후보 3→1 · 정보량 1.58 bits
    [SEG 3] 힌트 3 반영: 832 → 0S 2B · 후보 1→1 · 정보량 0.00 bits
[STEP 3] 답·검산
  - 최종 답: 358
  - 각 힌트에 대해 정답과 S/B를 재계산하여 모두 일치하는지 확인.",easy
number_baseball_ko_easy_0009,"다음 숫자 야구 퍼즐을 풀어보세요.

규칙:
- 비밀 숫자는 3자리이며, 각 자릿수는 서로 다릅니다 (0-9)
- ""스트라이크(S)""는 숫자가 맞고 위치도 맞음을 의미합니다
- ""볼(B)""은 숫자는 맞지만 위치가 틀림을 의미합니다
- 모든 힌트를 만족하는 비밀 숫자를 찾으세요

힌트:
  1. 추측: 430 -> 0 스트라이크(S), 3 볼(B)
  2. 추측: 360 -> 0 스트라이크(S), 2 볼(B)
  3. 추측: 034 -> 1 스트라이크(S), 2 볼(B)

단계별로 생각하며 유일한 3자리 비밀 숫자를 찾으세요.

다음 형식으로 답을 제시하세요:
Answer: [3자리 비밀 숫자]",043,"STEP0=문제 메타 · STEP1=주어진 조건 · STEP2=풀이 전개 · STEP3=답·검산
[STEP 0] 문제 메타
  - 난이도: easy
  - 자릿수: 3 (서로 다른 숫자)
  - 힌트 수: 3 · 초기 후보: 720
  - 최종 답은 [STEP 3]에서 확정
[STEP 1] 주어진 조건
  - 규칙: 각 자리 숫자는 서로 다름(0–9).
  - S(스트라이크) = 숫자·위치 모두 일치, B(볼) = 숫자만 일치.
  1. 추측 430 → 0S 3B
  2. 추측 360 → 0S 2B
  3. 추측 034 → 1S 2B
[STEP 2] 풀이 전개
  · 요약: 각 힌트(S/B)로 후보 공간 축소 · 초기 720 → 최종 1 · SEG 3개
    [SEG 1] 힌트 1 반영: 430 → 0S 3B · 후보 720→2 · 정보량 8.49 bits
    [SEG 2] 힌트 2 반영: 360 → 0S 2B · 후보 2→1 · 정보량 1.00 bits
    [SEG 3] 힌트 3 반영: 034 → 1S 2B · 후보 1→1 · 정보량 0.00 bits
[STEP 3] 답·검산
  - 최종 답: 043
  - 각 힌트에 대해 정답과 S/B를 재계산하여 모두 일치하는지 확인.",easy
